"Gardiner Lesson 6","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","R14( 0, 0) - X1( 405, 0) - Z4( 405, 315) ","R14 - X1 - Z4 ","imnty","western","G06v"
"L","E","F22( 60, 0) - D54( 0, 450) ","F22 - D54 ","pH","reach, attack","G06v"
"L","E","U23( 0, 135) - G17( 285, 0) - D21( 270, 765) - O24( 1230, 150) ","U23 - G17 - D21 - O24 ","mr","pyramid","G06v"
"L","E","M16( 0, 0) - G1( 390, 15) - N29( 990, 60) - A24( 1365, 30) ","M16 - G1 - N29 - A24 ","HAq","capture, take as plunder","G06v"
"L","E","Y5( 135, 0) - W24( 0, 300) - W24( 405, 285) - W24( 810, 285) ","Y5 - W24 - W24 - W24 ","mnw","monument","G06v"
"L","E","M17( 0, 60) - D21( 300, 150) - X1( 270, 540) - X1( 765, 510) - W20( 1290, 0) - Z2( 1110, 735) ","M17 - D21 - X1 - X1 - W20 - Z2 ","irTt","milk","G06v"
"L","E","N25( 0, 0) - X1( 90, 420) - Z1( 570, 345) ","N25 - X1 - Z1 ","xAst","hill-country, (foreign) country","G06v"
"L","E","G36( 0, 0) - D21( 0, 540) ","G36 - D21 ","wrr","great, important, much","G06v"
"L","E","O1( 120, 0) - D21( 0, 420) - D54( 915, 105) ","O1 - D21 - D54 ","pr","go forth, go up","G06v"
"L","E","D21( 0, 45) - D46( 0, 405) - D56( 945, 0) ","D21 - D46 - D56 ","rd","foot","G06v"
"L","E","G21( 0, 0) - V28( 585, 0) - V28( 900, 0) - N5( 1215, 105) ","G21 - V28 - V28 - N5 ","nHH","eternity","G06v"
"L","E","R15( 0, 0) - D58( 405, 15) - X1( 885, 60) - Z4( 885, 360) ","R15 - D58 - X1 - Z4 ","iAbty","eastern","G06v"
"L","E","D4( 0, 0) ","D4 ","ir","make, do","G06v"
"L","E","Y5( 0, 60) - N35( 15, 525) - Y5( 945, 60) - N35( 945, 540) - X1( 1905, 315) - E1( 2430, 0) - Z2( 2520, 540) ","Y5 - N35 - Y5 - N35 - X1 - E1 - Z2 ","mnmnt","cattle","G06v"
"L","E","X1( 45, 0) - U30( 0, 300) - G1( 540, 0) - N37( 1305, 15) - Z9( 1320, 345) - N23( 1800, 480) ","X1 - U30 - G1 - N37 - Z9 - N23 ","tAS","boundary","G06v"
"L","E","F32( 60, 0) - X1( 0, 360) - Z1( 555, 270) ","F32 - X1 - Z1 ","Xt","body","G06v"
"L","E","U10( 0, 0) - Z2( 105, 705) "," U10 - Z2 ","it","barley, corn","G06v"
"L","E","D46( 0, 210) - D58( 915, 0) - V28( 1425, 15) - F18( 1695, 225) - A2( 2625, 15) ","D46 - D58 - V28 - F18 - A2 ","dbH","ask for, beg","G06v"
"L","E","D21( 15, 15) - V13( 0, 510) - A1( 960, 0) ","D21 - V13 - A1 ","rmT","man","G06v"
"L","E","D21( 0, 75) - V13( 30, 780) - A1( 1035, 0) - B1( 1695, 30) - Z2( 1200, 765) ","D21 - V13 - A1 - B1 - Z2 ","rmT","people","G06v (collective noun)"
"L","E","V31( 0, 195) - G1( 870, 0) - N37( 1650, 0) - N25( 1680, 450) ","V31 - G1 - N37 - N25 ","kAS","Ethiopia, the Cush of the Bible (f.)","G06v (locality)"
"L","E","T28( 105, 0) - D21( 0, 615) ","T28 - D21 ","Xr","under, carrying, holding (preposition)","G06v (preposition)"
"L","E","V22( 30, 0) - Y1( 0, 510) ","V22 - Y1 ","mH","fill (m with)","G06v (verb  transitive)"
"L","E","U7( 30, 30) - D21( 0, 465) - A2( 960, 0) ","U7 - D21 - A2 ","mr","love, want, wish, desire","G06v (verb)"
