"Gardiner Lesson 29","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","D61( 0, 60) - Z1( 900, 0) - F51( 795, 375) ","D61 - Z1 - F51 ","sAH","toe","G29v"
"L","E","E34B( 0, 0) ","E34B ","wnt","the Hare-nome, the 15th nome or province of Upper Egypt","G29v"
"L","E","M12( 0, 0) - G1( 420, 0) - G43( 1230, 30) - X1( 1860, 30) - R2( 2370, 30) ","M12 - G1 - G43 - X1 - R2 ","xAwt","table of offerings","G29v"
"L","E","V31( 30, 0) - X1( 0, 315) - X1( 510, 315) - G37( 1050, 0) ","V31 - X1 - X1 - G37 ","ktt","little, trifling","G29v"
"L","E","S38( 0, 15) - N29( 270, 225) - G1( 660, 0) - Y1V( 1485, 15) ","S38 - N29 - G1 - Y1V ","HqA","rule","G29v"
"L","E","S29( 0, 0) - V13( 330, 30) - V34( 540, 300) ","S29 - V13 - V34 ","sTi","perfume","G29v"
"L","E","S29( 0, 0) - X1( 345, 15) - Z4( 375, 435) - J2( 900, 165) ","S29 - X1 - Z4 - J2 ","sty","perfume","G29v"
"L","E","S29( 0, 0) - I9( 315, 30) - X1( 420, 435) - W22( 960, 150) ","S29 - I9 - X1 - W22 ","sft","oil for anointing","G29v"
"L","E","V28( 0, 0) - S29( 300, 0) - Y5( 585, 0) - N35( 555, 600) - U32( 1530, 15) - N33( 2160, 0) - Z2( 1950, 435) ","V28 - S29 - Y5 - N35 - U32 - N33 - Z2 ","Hsmn","natron","G29v"
"L","E","D60( 0, 0) - X1( 585, 15) - F51( 600, 330) ","D60 - X1 - F51 ","wabt","meat","G29v"
"L","E","X1( 0, 0) - U30( 0, 285) - G1( 510, 0) - Q7( 1320, 0) ","X1 - U30 - G1 - Q7 ","tA","be hot","G29v"
"L","E","L2( 0, 120) - X1( 930, 390) - W22( 1545, 0) - Z2( 1455, 540) ","L2 - X1 - W22 - Z2 ","bit","honey","G29v"
"L","E","J27( 0, 0) - W24( 405, 435) - A24( 810, 120) ","J27 - W24 - A24 ","nD","grind","G29v"
"L","E","D50( 0, 0) - Z1( 210, 180) ","D50 - Z1 ","Dba","finger","G29v"
"L","E","S29( 0, 15) - D46( 270, 225) - D58( 1185, 0) - A2( 1680, 0) ","S29 - D46 - D58 - A2 ","sdb","swallow","G29v"
"L","E","D36( 0, 0) - I9( 75, 390) - D46( 870, 15) - X1( 1125, 390) - M3( 1770, 180) ","D36 - I9 - D46 - X1 - M3 ","afdt","box","G29v"
"L","E","N29( 255, 0) - N35( 0, 345) - D46( 0, 540) - E32( 885, 180) ","N29 - N35 - D46 - E32 ","qnd","be angry, furious","G29v"
"L","E","N29( 255, 0) - N35( 0, 345) - D46( 0, 540) - E32( 885, 180) ","N29 - N35 - D46 - E32 ","qnd","be angry, furious","G29v"
"L","E","S29( 0, 15) - U1( 270, 15) - G1( 1170, 0) - G43( 1950, 15) - Z4( 2595, 30) - Y1V( 3105, 45) ","S29 - U1 - G1 - G43 - Z4 - Y1V ","smAwy","restore, renew","G29v (causative)"
"L","E","Y3( 0, 0) - Y1V( 645, 0) ","Y3 - Y1V ","sS","writing, papyrus, book","G29v (noun)"
"L","E","S29( 0, 0) - M17( 300, 15) - Q3( 705, 15) - X1( 570, 525) - Z4( 1320, 30) - Y1( 1095, 540) ","S29 - M17 - Q3 - X1 - Z4 - Y1 ","sip","inspection","G29v (noun)"
"L","E","S29( 0, 0) - G17( 390, 15) - M23( 1230, 30) - G43( 1725, 30) - A19( 2325, 30) ","S29 - G17 - M23 - G43 - A19 ","smsw","elder, eldest","G29v (noun)"
"L","E","J1( 0, 120) - D58( 510, 0) - Z9( 1020, 120) ","J1 - D58 - Z9 ","xbi","curtail, subtract","G29v (verb)"
