"Gardiner Lesson 15","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","N35( 0, 0) - U19( 0, 240) - W24( 945, 240) - G43( 1350, 15) - N35A( 1980, 30) ","N35 - U19 - W24 - G43 - N35A ","nw","water (a rather select word)","G15v"
"L","E","S29( 0, 0) - G43( 300, 0) - X1( 945, 15) - G43( 1425, 30) - X1( 2055, 30) - D56( 2565, 30) - D54( 3180, 135) ","S29 - G43 - X1 - G43 - X1 - D56 - D54 ","swtwt","walk about","G15v"
"L","E","D46( 0, 210) - W19( 810, 30) - M17( 1155, 0) - N23( 1440, 45) - Z1( 1545, 345) ","D46 - W19 - M17 - N23 - Z1 ","dmi","town, habitation","G15v"
"L","E","X1( 210, 0) - D21( 0, 510) - M6( 915, 15) - N5( 1560, 135) ","X1 - D21 - M6 - N5 ","tr","time, season, period","G15v"
"L","E","N35( 45, 0) - O4( 0, 285) - X1( 525, 510) - M1( 1065, 0) ","N35 - O4 - X1 - M1 ","nht","sycamore, tree (in general)","G15v"
"L","E","M17( 0, 165) - K1( 285, 180) - N35( 270, 750) - V28( 1215, 180) - V1( 1770, 0) - D40( 1485, 510) ","M17 - K1 - N35 - V28 - V1 - D40 ","inH","surround, enclose","G15v"
"L","E","I10( 180, 0) - D46( 0, 630) - V28( 885, 210) - V1( 1470, 0) - D40( 1215, 450) ","I10 - D46 - V28 - V1 - D40 ","DdH","shut up, confine","G15v"
"L","E","S43( 0, 135) - I10( 270, 0) ","S43 - I10 ","Dd  mdw","to be recited, lit. to say words, as heading","G15v"
"L","E","D19( 0, 0) - X1( 600, 210) - O1( 240, 495) ","D19 - X1 - O1 ","xnt (xnrt)","prison","G15v"
"L","E","V28( 0, 30) - S29( 285, 15) - D58( 570, 30) - J2( 1335, 0) - Y1( 1080, 540) ","V28 - S29 - D58 - J2 - Y1 ","Hsb","count, reckon","G15v"
"L","E","D36( 0, 180) - D58( 945, 0) - D36( 1455, 15) - F16( 1455, 345) - A1( 2370, 0) ","D36 - D58 - D36 - F16 - A1 ","aba","boasting, exaggeration","G15v"
"L","E","M17( 0, 30) - Q3( 420, 0) - X1( 285, 540) - Q1( 795, 15) - Q1( 1335, 15) - Q1( 1875, 15) - X1( 2385, 15) - O49( 2400, 360) ","M17 - Q3 - X1 - Q1 - Q1 - Q1 - X1 - O49 ","ipt  swt","name of the temple of Karnak at Thebes","G15v"
"L","E","M8( 0, 225) - D21( 915, 60) - Z1( 1230, 525) - M16( 1860, 75) - N35( 2355, 0) - G1( 2385, 150) - N25( 3225, 210) ","M8 - D21 - Z1 - M16 - N35 - G1 - N25 ","SrHn","Sharuhen, a place in Palestine","G15v"
"L","E"," U7( 0, 15) - D21( 0, 495) - V28( 945, 0) - X1( 1245, 0) - W22( 1230, 240) ","U7 - D21 - V28 - X1 - W22 ","mrHt","oil","G15v"
"L","E","J1( 195, 0) - N35( 0, 495) - X1( 1185, 30) - N37( 945, 390) - D19( 1875, 120) "," J1 - N35 - X1 - N37 - D19 ","xntS","take pleasure, have enjoyment","G15v"
"L","E","U5( 15, 0) - D36( 0, 480) - N21( 990, 15) - Z1( 1125, 405) ","U5 - D36 - N21 - Z1 ","mAa","edge, brink","G15v"
"L","E","V31( 0, 0) - I9( 45, 390) - U33( 900, 15) - G43( 1335, 0) - N25( 2010, 165) ","V31 - I9 - U33 - G43 - N25 ","kftiw","Meditarrean land, probably Crete, and its people","G15v"
"L","E","S29( 0, 0) - N29( 285, 195) - D58( 690, 30) - D58( 1215, 30) - W15( 1755, 30) - N35A( 2280, 30) ","S29 - N29 - D58 - D58 - W15 - N35A ","sqbb","refresh oneself","G15v (causative)"
"L","E","W9( 0, 255) - G17( 405, 135) - X1( 1515, 0) - N35A( 1305, 225) ","W9 - G17 - X1 - N35A ","Xnmt","well, cistern","G15v (noun)"
"L","E","W11( 0, 240) - G1( 510, 75) - J2( 1470, 0) - G37( 1320, 390) ","W11 - G1 - J2 - G37 ","gAw","be narrow, deprived of (m)","G15v (verb  intransitive)"
"L","E","W11( 0, 225) - G1( 525, 15) - V32( 1320, 0) - G37( 1455, 300) ","W11 - G1 - V32 - G37 ","gAw","be narrow, deprived of (m)","G15v (verb  intransitive)"
