"Gardiner Lesson 32","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","N35( 0, 0) - J1( 210, 330) - N35( 915, 0) - X1( 1110, 435) - A17( 1845, 15) ","N35 - J1 - N35 - X1 - A17 ","nxnt","youth, childhood","G32v"
"L","E","D21( 0, 240) - G43( 930, 0) - D46( 1545, 0) - O40( 1680, 315) ","D21 - G43 - D46 - O40 ","rwd","stairway","G32v"
"L","E","S29( 0, 45) - N29( 630, 45) - D21( 375, 450) - J7( 1395, 0) - T2( 1380, 315) ","S29 - N29 - D21 - J7 - T2 ","sqr","smite","G32v"
"L","E","J13( 0, 0) - Z1( 390, 255) ","J13 - Z1 ","gs","side, half, di Hr gs place on one side, dispose of, kill","G32v"
"L","E","D33( 75, 0) - N35( 0, 825) - P1( 915, 285) ","D33 - N35 - P1 ","Xni","row, trans. and intrans., convey by water","G32v"
"L","E","K4( 0, 195) - G1( 930, 0) - V31( 1740, 15) - F34( 2655, 0) - Z1( 2805, 450) - A13( 3180, 0) ","K4 - G1 - V31 - F34 - Z1 - A13 ","XAk-ib","rebel","G32v"
"L","E","D37( 0, 300) - D2( 990, 0) - Z1( 1155, 495) - J13( 1530, 90) - Z1( 1860, 465) ","D37 - D2 - Z1 - J13 - Z1 ","di Hr gs","place on one side, dispose of, kill","G32v"
"L","E","D36( 0, 0) - I10( 105, 345) - V26( 765, 435) - A2( 1620, 240) ","D36 - I10 - V26 - A2 ","aD","perceive","G32v"
"L","E","N35( 0, 15) - O4( 225, 315) - G43( 915, 0) - G37( 1560, 90) ","N35 - O4 - G43 - G37 ","nhw","loss","G32v"
"L","E","T28( 105, 195) - D21( 0, 810) - A1( 1005, 0) - B1( 1680, 0) - Z2( 1200, 780) ","T28 - D21 - A1 - B1 - Z2 ","Xryw","inhabitants, people","G32v"
"L","E","G43( 0, 0) - M16( 630, 0) - G1( 1155, 0) - A24( 1980, 0) ","G43 - M16 - G1 - A24 ","wHA","hew (stone), pull up (corn)","G32v"
"L","E","D36( 15, 0) - D21( 0, 345) - D21( 0, 570) - G43( 990, 45) - X1( 1725, 15) - O38( 1620, 270) ","D36 - D21 - D21 - G43 - X1 - O38 ","arrwt","gate","G32v"
"L","E","G43( 0, 0) - X1( 645, 15) - J1( 675, 360) - D56( 1200, 30) - D54( 1830, 150) ","G43 - X1 - J1 - D56 - D54 ","wtx","flee","G32v"
"L","E","J1( 255, 0) - D21( 0, 510) - G43( 930, 15) - A15( 1560, 135) ","J1 - D21 - G43 - A15 ","xrw","enemy","G32v"
"L","E","M40( 0, 315) - X1( 285, 315) - Z1( 435, 750) - A1( 870, 0) - Z2( 840, 750) ","M40 - X1 - Z1 - A1 - Z2 ","ist","crew","G32v"
"L","E","D52( 0, 0) - X1( 15, 435) - Z4( 450, 360) ","D52 - X1 - Z4 ","mty","controller","G32v"
"L","E","S29( 0, 0) - V28( 270, 15) - G43( 555, 15) - G41( 1185, 15) - Y1V( 2115, 30) ","S29 - V28 - G43 - G41 - Y1V ","sHwy","collect","G32v"
"L","E","M17( 0, 15) - G1( 300, 0) - N37( 825, 15) - A2( 1710, 15) ","M17 - G1 - N37 - A2 ","iAS","call, n a person","G32v"
"L","E","G43( 0, 0) - F30( 630, 15) - D46( 600, 450) - A2( 1545, 15) ","G43 - F30 - D46 - A2 ","wSd","address (someone), question (someone)","G32v"
"L","E","O28( 0, 30) - J32( 300, 15) - X1( 525, 285) - A13( 1035, 0) ","O28 - J32 - X1 - A13 ","iwnty-sty","Nubian foreigner (lit. bowman)","G32v"
"L","E","V28( 0, 30) - A25( 285, 15) - A24( 1080, 0) ","V28 - A25 - A24 ","Hii","strike, smite","G32v"
"L","E","V28( 0, 30) - A25( 285, 15) - A24( 1080, 0) ","V28 - A25 - A24 ","Hii","strike, smite","G32v"
"L","E","W11( 0, 360) - V4( 510, 195) - G1( 1455, 195) - V4( 2250, 195) - G1( 3135, 150) - D1( 4125, 0) - D40( 3915, 480) ","W11 - V4 - G1 - V4 - G1 - D1 - D40 ","gwAwA","constrict, put rope round neck of","G32v"
"L","E","W11( 0, 360) - V4( 510, 195) - G1( 1455, 195) - V4( 2250, 195) - G1( 3135, 150) - D1( 4125, 0) - D40( 3915, 480) ","W11 - V4 - G1 - V4 - G1 - D1 - D40 ","gwAwA","constrict, put rope round neck of","G32v"
"L","E","S29( 0, 0) - N29( 270, 195) - G1( 705, 15) - V28( 1560, 15) - D40( 1830, 195) ","S29 - N29 - G1 - V28 - D40 ","sqAH","plaster","G32v (causative of qAH clay, mud)"
"L","E","J27( 0, 0) - W24( 315, 420) - A2( 720, 0) ","J27 - W24 - A2 ","nD","ask, inquire, nD xrt inquire after health of, greet","G32v (verb transitive)"
"L","E","W17( 0, 0) - N35( 660, 0) - X1( 870, 420) - P2( 1440, 15) ","W17 - N35 - X1 - P2 ","xnti","sail upstream, travel southward","G32v (verb)"
