"Gardiner Lesson 8","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","M4( 0, 0) - X1( 375, 75) - Z1( 495, 360) ","M4 - X1 - Z1 ","rnpt","year","G08v"
"L","E","U1( 0, 30) - G1( 945, 30) - D21( 1695, 0) - T12( 1785, 240) - G37( 2580, 165) ","U1 - G1 - D21 - T12 - G37 ","mAr","wretched","G08v"
"L","E","T3( 0, 15) - I10( 360, 0) - N5( 345, 285) ","T3 - I10 - N5 ","HD","be white, bright, white (adj.)","G08v"
"L","E","D1( 0, 0) - Z1( 165, 510) ","D1 - Z1 ","tp","upon","G08v"
"L","E","D21( 0, 0) - V31( 15, 405) - N5( 930, 75) ","D21 - V31 - N5 ","rk","time, period","G08v"
"L","E","G30( 0, 30) - Y1( 870, 0) - Z2( 885, 285) ","G30 - Y1 - Z2 ","bAw","might (plur.)","G08v"
"L","E","O34( 0, 0) - Q3( 0, 450) - O50( 480, 255) ","O34 - Q3 - O50 ","sp","occasion, time, deed, fault","G08v"
"L","E","F4( 15, 0) - D36( 0, 570) "," F4 - D36 ","HAty  a","chieftain, local prince, mayor","G08v"
"L","E","V7( 240, 30) - W24( 720, 195) - N35( 0, 555) - G43( 1095, 0) - X1( 1740, 30) - O51( 1965, 240) ","V7 - W24 - N35 - G43 - X1 - O51 ","Snwt","granary","G08v"
"L","E","J28( 0, 0) - D46( 270, 0) - W24( 540, 390) - Y1V( 1215, 0) ","J28 - D46 - W24 - Y1V ","qd","form, character, good character, virtue","G08v"
"L","E","M36( 120, 0) - D21( 0, 525) - N31( 855, 195) ","M36 - D21 - N31 ","Dr","end, limit","G08v"
"L","E","J28( 0, 15) - D46( 270, 15) - W24( 540, 435) - A35( 1200, 0) ","J28 - D46 - W24 - A35 ","qd","build","G08v"
"L","E","G17( 0, 45) - D36( 930, 225) - O4( 1875, 0) - Z4( 1890, 510) - G37( 2430, 135) ","G17 - D36 - O4 - Z4 - G37 ","mhy","be neglectful, careless","G08v"
"L","E","U36( 0, 0) - Z1( 315, 180) ","U36 - Z1 ","Hm","Majesty (with suffixes or genitival adj.)","G08v"
"L","E","U36( 0, 0) - Z1( 315, 240) - A40( 540, 30) ","U36 - Z1 - A40 ","Hm","Majesty","G08v"
"L","E","L2( 0, 15) - X1( 900, 135) - A40( 1395, 0) "," L2 - X1 - A40 ","bity","king of Lower Egypt","G08v"
"L","E","J27( 0, 0) - W24( 390, 375) - J27( 810, 0) - W24( 1155, 405) - A2( 1575, 0) ","J27 - W24 - J27 - W24 - A2 ","nDnD","converse, take counsel","G08v"
"L","E","S29( 0, 15) - D21( 255, 270) - A21( 1185, 0) ","S29 - D21 - A21 ","sr","official, noble","G08v"
"L","E","O4( 0, 135) - G1( 510, 0) - G43( 1305, 0) - Y1( 1935, 15) - Z2( 2070, 360) ","O4 - G1 - G43 - Y1 - Z2 ","hAw","environment, neighbourhood, time","G08v"
"L","E","D58( 0, 15) - M17( 525, 15) - X1( 1020, 0) - F18( 795, 480) - A2( 1740, 0) ","D58 - M17 - X1 - F18 - A2 ","bit","qualities, talent","G08v"
"L","E","M36( 135, 0) - D21( 0, 600) ","M36 - D21 ","Dr","since","G08v (preposition)"
