"Gardiner Lesson 23","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","T25( 0, 45) - D58( 405, 45) - A24( 810, 0) ","T25 - D58 - A24 ","DbA","stop up, block","G23v"
"L","E","D58( 0, 0) - G43( 540, 0) ","D58 - G43 ","bw","place, also forms abstracts, as bw nTr good, bw bin evil","G23v"
"L","E","V17( 0, 285) - Z1( 510, 465) - A1( 930, 0) - Z2( 855, 750) ","V17 - Z1 - A1 - Z2 ","sA","body (of men), corps, regiment","G23v"
"L","E","N14( 0, 165) - G1( 525, 30) - X1( 1365, 0) - N5( 1365, 285) ","N14 - G1 - X1 - N5 ","dwA","morning","G23v"
"L","E","N35( 0, 0) - I10( 45, 180) - S29( 840, 165) - G37( 1065, 390) ","N35 - I10 - S29 - G37 ","nDs","be poor, of eyes, dim","G23v"
"L","E","W18( 0, 15) - N35( 855, 0) - X1( 1200, 435) - N37( 1815, 15) - Z1( 1875, 345) - N21( 2235, 390) ","W18 - N35 - X1 - N37 - Z1 - N21 ","xnt  S","garden (with trees)","G23v"
"L","E","V26( 15, 0) - Y1( 0, 315) ","V26 - Y1 ","aD","be in good condition, safe","G23v"
"L","E","G17( 0, 0) - D36( 945, 0) - D21( 930, 510) - M1( 1875, 0) - Y1V( 2280, 0) ","G17 - D36 - D21 - M1 - Y1V ","mar","be fortunate, happy","G23v"
"L","E","D36( 0, 240) - E34( 960, 45) - N35( 960, 570) - A24( 1905, 0) ","D36 - E34 - N35 - A24 ","awn","be rapacious","G23v"
"L","E","G43( 0, 15) - U28( 645, 15) - G1( 1065, 15) - Y1V( 1890, 0) ","G43 - U28 - G1 - Y1V ","wDA","be whole, sound, prosperous","G23v"
"L","E","N14( 0, 105) - G1( 480, 0) - N5( 1320, 150) ","N14 - G1 - N5 ","dwAt","morning","G23v"
"L","E","N35( 0, 15) - M3( 0, 420) - J1( 960, 30) - X1( 960, 435) - D40( 1500, 0) - Z2( 1635, 420) "," N35 - M3 - J1 - X1 - D40 - Z2 ","nxtw","hostages, securities","G23v"
"L","E","S29( 0, 0) - Y5( 300, 45) - N35( 300, 480) - D54( 1080, 225) ","S29 - Y5 - N35 - D54 ","smn","retire, rest","G23v (causative)"
"L","E","V33( 0, 105) - D58( 405, 0) - G4( 930, 60) - O49( 1845, 60) ","V33 - D58 - G4 - O49 ","gbtyw","Coptus, a town in Upper Egypt","G23v (locality)"
"L","E","D46( 0, 0) - Q3( 105, 330) - X1( 405, 390) - F20( 930, 60) "," D46 - Q3 - X1 - F20 ","dpt","taste","G23v (noun)"
"L","E","O4( 195, 30) - D21( 0, 510) - Y1V( 975, 0) ","O4 - D21 - Y1V ","hrw","be satisfied, quiet","G23v (verb infinitive)"
"L","E","R4( 0, 0) - X1( 45, 510) - Q3( 630, 450) ","R4 - X1 - Q3 ","Htp","pardon, n someone","G23v (verb intransitive)"
"L","E","S29( 0, 0) - W19( 300, 15) - M17( 645, 15) - A2( 960, 30) ","S29 - W19 - M17 - A2 ","smi","report, announce","G23v (verb)"
"L","E","G43( 0, 15) - U28( 555, 0) - G1( 915, 30) - Y1( 1455, 270) ","G43 - U28 - G1 - Y1 ","wDA","be hale, uninjured, prosperous","G23v (verb)"
