"Gardiner Lesson 30","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","J1( 240, 15) - X1( 225, 765) - Y1( 855, 0) - D21( 0, 465) - Z2( 945, 705) ","J1 - X1 - Y1 - D21 - Z2 ","xrt","what belongs to someone or something","G30v"
"L","E","N41( 0, 195) - G17( 495, 0) - M3( 1410, 0) - J1( 1395, 360) - X1( 1920, 510) - D55( 2415, 75) ","N41 - G17 - M3 - J1 - X1 - D55 ","Hm  xt","retreat","G30v"
"L","E","N41( 0, 195) - G17( 510, 0) - D55( 1440, 150) ","N41 - G17 - D55 ","Hm","retire, flee","G30v"
"L","E","G1( 0, 120) - D21( 465, 0) - T12( 615, 255) - A24( 1200, 135) ","G1 - D21 - T12 - A24 ","Ar","restrain, hold back","G30v"
"L","E","F42( 15, 15) - D21( 0, 420) - X1( 810, 0) - Z4( 855, 375) - A1( 1260, 30) ","F42 - D21 - X1 - Z4 - A1 ","sprty","petitioner","G30v"
"L","E","O4( 90, 0) - Q3( 630, 165) - Y1( 0, 450) ","O4 - Q3 - Y1 ","hp","law","G30v"
"L","E","G43( 0, 225) - I10( 735, 0) - I9( 630, 750) - D54( 1485, 405) ","G43 - I10 - I9 - D54 ","wdf","lag, delay","G30v"
"L","E","J1( 195, 0) - N35( 0, 615) - T34( 945, 15) - G17( 1350, 30) - S29( 2295, 30) - A21( 2550, 30) - A1( 3195, 30) ","J1 - N35 - T34 - G17 - S29 - A21 - A1 ","xnms","friend","G30v"
"L","E","T24( 0, 0) - X1( 840, 30) - N21( 900, 375) ","T24 - X1 - N21 ","aHt","field, holding (of land)","G30v"
"L","E","J1( 240, 0) - D21( 0, 420) - P8( 870, 0) - G43( 1140, 0) - M17( 1755, 0) - M17( 2040, 0) - A13( 2325, 0) ","J1 - D21 - P8 - G43 - M17 - M17 - A13 ","xrwy","enemy","G30v"
"L","E","G43( 0, 0) - N23( 645, 0) - Z1( 735, 330) ","G43 - N23 - Z1 ","w","district, region","G30v"
"L","E","N37( 0, 0) - I9( 75, 240) - X1( 180, 480) - F7( 825, 150) ","N37 - I9 - X1 - F7 ","Sft","dignity, worth","G30v"
"L","E","N41( 0, 135) - G17( 390, 0) - D52( 1230, 165) ","N41 - G17 - D52 ","Hm","coward, poltroon","G30v"
"L","E","S29( 0, 0) - I10( 450, 15) - Z9( 480, 270) - A24( 1095, 30) ","S29 - I10 - Z9 - A24 ","sD","break, smash","G30v"
"L","E","N29( 225, 330) - N35( 0, 915) - D58( 945, 330) - X1( 1560, 285) - O38( 1455, 525) - A1( 2145, 0) - Z2( 2115, 765) ","N29 - N35 - D58 - X1 - O38 - A1 - Z2 ","qnbt","body of officials or magistrates","G30v"
"L","E","F32( 90, 0) - O34( 0, 390) - G37( 945, 0) ","F32 - O34 - G37 ","Xsi","be timid, weak, feeble","G30v"
"L","E","G1( 0, 30) - D46( 645, 0) - I3( 630, 405) ","G1 - D46 - I3 ","Ad","be aggressive, rage, resent","G30v"
"L","E","S42( 0, 0) - G17( 375, 15) - A24( 1185, 15) ","S42 - G17 - A24 ","sxm","be powerful, with m have power over, caus. ssxm strengthen","G30v"
"L","E","G21( 0, 0) - V28( 825, 0) - S29( 1095, 0) - Z4( 1350, 435) - A13( 1875, 30) ","G21 - V28 - S29 - Z4 - A13 ","nHsy","Nubian","G30v"
"L","E","J1( 0, 0) - X1( 15, 525) - G17( 525, 15) - S20( 1455, 195) - A24( 1755, 30) ","J1 - X1 - G17 - S20 - A24 ","xtm","shut, close, seal","G30v (verb)"
