"Gardiner Lesson 7","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","M17( 0, 120) - M40( 300, 105) - S29( 615, 120) - I9( 900, 0) - X1( 1020, 255) - G37( 915, 495) ","M17 - M40 - S29 - I9 - X1 - G37 ","isft","evil, wrong-doing","G07v"
"L","E","J1( 255, 30) - D21( 0, 450) - P8( 855, 15) - G43( 1140, 15) - A2( 1770, 0) ","J1 - D21 - P8 - G43 - A2 ","xrw","voice, sound","G07v"
"L","E","G43( 0, 0) - S29( 675, 15) - V13( 975, 30) - N35( 975, 600) - D54( 1890, 180) ","G43 - S29 - V13 - N35 - D54 ","wsTn","stride","G07v"
"L","E","R14( 0, 0) - X1( 585, 45) - N25( 345, 390) ","R14 - X1 - N25 ","imnt","the West","G07v"
"L","E","O42( 0, 0) - Q3( 300, 480) - A24( 975, 0) ","O42 - Q3 - A24 ","Ssp","take, receive","G07v"
"L","E","V24( 0, 60) - V28( 330, 30) - G43( 735, 45) - R3Q( 1365, 0) ","V24 - V28 - G43 - R3Q ","wDHw","table of offerings","G07v"
"L","E","N35( 0, 0) - M3( 0, 165) - J1( 0, 450) - X1( 450, 600) - A24( 975, 90) ","N35 - M3 - J1 - X1 - A24 ","nxt","be mighty, victorious, mighty (adj.)","G07v"
"L","E","Q1( 0, 0) - X1( 645, 0) - O1( 540, 360) ","Q1 - X1 - O1 ","st","place","G07v"
"L","E","S29( 0, 0) - M12( 300, 0) - G1( 705, 0) - G43( 1530, 15) - A2( 2175, 15) ","S29 - M12 - G1 - G43 - A2 ","sxAw","remembrance, memory","G07v"
"L","E","N14( 0, 45) - X1( 600, 0) - O1( 525, 240) ","N14 - X1 - O1 ","dwAt","netherworld","G07v"
"L","E","N26( 0, 0) - Z1( 345, 375) ","N26 - Z1 ","Dw","mountain","G07v"
"L","E","G14( 0, 15) - X1( 795, 0) - B1( 1290, 0) ","G14 - X1 - B1 ","mwt","mother","G07v"
"L","E","F40( 0, 150) - G43( 930, 75) - X1( 1770, 0) - N18( 1560, 255) - Z2( 1665, 510) ","F40 - G43 - X1 - N18 - Z2 ","Awt","oblations, offerings","G07v"
"L","E","N37( 0, 240) - D58( 915, 15) - G43( 1410, 15) - Z8( 2040, 0) - Z2( 2175, 420) ","N37 - D58 - G43 - Z8 - Z2 ","Sbw","food","G07v"
"L","E","I10( 405, 0) - X1( 240, 360) - N17( 0, 600) ","I10 - X1 - N17 ","Dt","eternity, everlasting","G07v"
"L","E","G35( 0, 120) - N29( 1035, 0) - D54( 900, 345) ","G35 - N29 - D54 ","aq","enter","G07v"
"L","E","S29( 0, 0) - D58( 270, 0) - N14( 750, 165) - G1( 1245, 15) - O32( 2070, 15) ","S29 - D58 - N14 - G1 - O32 ","sbA","door","G07v"
"L","E","F31( 0, 0) - S29( 555, 15) - A17( 870, 15) ","F31 - S29 - A17 ","ms","child","G07v"
"L","E","U2( 15, 0) - J11( 0, 555) - D36( 930, 45) - Y1( 915, 495) ","U2 - J11 - D36 - Y1 ","mAa","true, real, just","G07v (adjective and verb)"
"L","E","V28( 60, 0) - W14( 585, 15) - O34( 0, 765) - X1( 885, 330) - A2( 1410, 90) ","V28 - W14 - O34 - X1 - A2 ","Hst","favour, praise","G07v (noun)"
"L","E","J1( 225, 0) - D21( 0, 495) ","J1 - D21 ","xr","with, before, (speak) to","G07v (preposition)"
"L","E","O34( 45, 0) - N35( 0, 525) - S29( 945, 0) - A30( 1245, 0) ","O34 - N35 - S29 - A30 ","snsy","worship","G07v (verb)"
"L","E","S29( 0, 0) - X1( 225, 255) - F29( 720, 15) - A24( 1620, 15) ","S29 - X1 - F29 - A24 ","sti","shoot, throw, pour","G07v (verb)"
"L","E","N14( 0, 75) - A30( 660, 0) ","N14 - A30 ","dwA","adore (in the morning)","G07v (verb)"
