"Gardiner Lesson 27","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","O1( 0, 225) - T3( 705, 0) - O1( 915, 240) ","O1 - T3 - O1 ","pr  HD","treasury (lit. white house)","G27v"
"L","E","F31( 0, 0) - S29( 510, 15) - M17( 795, 15) - M17( 1080, 30) - X1( 1380, 255) - N3( 1905, 75) - Z8( 2730, 90) - Z2( 2865, 495) ","F31 - S29 - M17 - M17 - X1 - N3 - Z8 - Z2 ","msyt","supper, evening meal","G27v"
"L","E","S29( 0, 0) - J28( 405, 0) - D46( 720, 15) - W24( 945, 315) - A10( 1575, 30) - A1( 2235, 45) ","S29 - J28 - D46 - W24 - A10 - A1 ","sqd","sailor, traveller","G27v"
"L","E","W11( 195, 0) - I9( 60, 405) - D19( 855, 180) - N35( 0, 705) - A2( 1485, 90) ","W11 - I9 - D19 - N35 - A2 ","gfn","rebuff","G27v"
"L","E","N37( 0, 225) - V4( 930, 0) - G1( 1875, 30) - G43( 2685, 15) - G37( 3345, 105) - A1( 4155, 15) ","N37 - V4 - G1 - G43 - G37 - A1 ","SwAw","poor man","G27v"
"L","E","G1( 0, 0) - W19( 780, 15) - M17( 1275, 15) - A24( 1545, 0) ","G1 - W19 - M17 - A24 ","Ami","mix, compound, Hr with","G27v"
"L","E","G43( 0, 0) - U28( 675, 0) - G1( 1110, 0) - D54( 1935, 120) ","G43 - U28 - G1 - D54 ","wDA","proceed","G27v"
"L","E","J1( 240, 0) - D21( 0, 405) - A15( 810, 120) ","J1 - D21 - A15 ","xr","fall, caus. sxr overthrow","G27v"
"L","E","N29( 240, 0) - D21( 0, 420) - S29( 915, 30) - T19( 1350, 30) - G43( 1785, 30) - Q6( 2430, 105) ","N29 - D21 - S29 - T19 - G43 - Q6 ","qrsw","coffin","G27v"
"L","E","N37( 0, 0) - D36( 0, 375) - X1( 960, 45) - X1( 960, 480) - N18( 1395, 255) ","N37 - D36 - X1 - X1 - N18 ","Satt","bread or cake of some kind","G27v"
"L","E","J2( 240, 0) - D36( 0, 465) ","J2 - D36 ","wt","bandage, bind","G27v"
"L","E","G43( 0, 15) - X1( 705, 30) - J2( 705, 285) - A24( 1245, 0) ","G43 - X1 - J2 - A24 ","wt","bandage, bind","G27v"
"L","E","O4( 225, 0) - N35( 15, 495) - N35( 0, 750) - D1( 1050, 255) ","O4 - N35 - N35 - D1 ","hnn","attend to, assent to","G27v"
"L","E","F31( 0, 30) - S29( 540, 30) - X1( 1035, 0) - U30( 990, 270) - G1( 1440, 45) - N35A( 2040, 60) ","F31 - S29 - X1 - U30 - G1 - N35A ","mstA","a liquid of some sort","G27v"
"L","E","I9( 90, 0) - N35( 0, 285) - J1( 180, 450) - G43( 855, 120) - V1( 1515, 195) - A49( 1920, 105) - Z3( 2535, 150) ","I9 - N35 - J1 - G43 - V1 - A49 - Z3 ","fnxw","Syrians, hence Phoenicians","G27v"
"L","E","M18( 0, 15) - M17( 405, 30) - M17( 705, 30) - X1( 1185, 0) - G37( 1050, 210) ","M18 - M17 - M17 - X1 - G37 ","iyt","mishap, harm","G27v"
"L","E","S29( 0, 0) - J1( 510, 15) - D21( 285, 510) - A15( 1215, 135) ","S29 - J1 - D21 - A15 ","sxr","overthrow","G27v (causative)"
"L","E","S29( 0, 0) - V29( 405, 0) - V31( 795, 210) - A24( 1665, 45) ","S29 - V29 - V31 - A24 ","ski","destroy, empty out","G27v (verb  transitive)"
"L","E","J8( 15, 0) - N35( 0, 570) - Y1V( 930, 0) ","J8 - N35 - Y1V ","qn","complete, be complete","G27v (verb  transitive)"
"L","E","X1( 180, 15) - V31( 0, 225) - V31( 15, 510) - A24( 870, 0) ","X1 - V31 - V31 - A24 ","tkk","attack","G27v (verb)"
"L","E","V13( 15, 90) - N35( 0, 450) - T14( 840, 15) - G41( 1140, 0) ","V13 - N35 - T14 - G41 ","Tni","distinguish","G27v (verb)"
