"Gardiner Lesson 18","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","L1( 0, 0) - D21( 870, 15) - X1( 600, 390) - Z2( 1020, 345) ","L1 - D21 - X1 - Z2 ","xprt","what has happened, occurrence","G18v"
"L","E","Y5( 0, 0) - N35( 15, 600) - V28( 945, 0) - N33( 1470, 0) - Z2( 1230, 435) ","Y5 - N35 - V28 - N33 - Z2 ","mnH","wax","G18v"
"L","E","M12( 0, 0) - G1( 435, 0) - D36( 1080, 195) - A24( 1965, 0) ","M12 - G1 - D36 - A24 ","xAa","throw, let go","G18v"
"L","E","D46( 0, 15) - Q3( 315, 345) - F20( 960, 75) - A2( 1875, 0) ","D46 - Q3 - F20 - A2 ","dp","taste","G18v"
"L","E","D2( 255, 15) - D21( 0, 495) - Z4( 1230, 15) - O1( 900, 390) - Z1( 1575, 390) - A1( 1770, 0) ","D2 - D21 - Z4 - O1 - Z1 - A1 ","Hrypr","servant (or the like)","G18v"
"L","E","N37( 0, 0) - X1( 240, 525) - U30( 870, 270) - G1( 1425, 15) - Y1V( 2250, 30) ","N37 - X1 - U30 - G1 - Y1V ","StA","mysterious, difficult","G18v"
"L","E","Q3( 330, 15) - N35( 0, 600) - G43( 915, 0) - W24( 1560, 180) - F27( 1965, 15) ","Q3 - N35 - G43 - W24 - F27 ","pnw","mouse","G18v"
"L","E","M17( 0, 15) - D4( 300, 240) - G4( 1080, 15) - A2( 1935, 0) - Z3( 2505, 60) ","M17 - D4 - G4 - A2 - Z3 ","irtyw","mourning","G18v"
"L","E","V28( 0, 0) - W24( 270, 15) - X1( 285, 495) - B1( 795, 0) ","V28 - W24 - X1 - B1 ","Hnwt","mistress","G18v"
"L","E","F13( 0, 15) - Q3( 240, 585) - X1( 825, 15) - Z4( 1320, 0) - D54( 1020, 450) - A1( 1830, 180) ","F13 - Q3 - X1 - Z4 - D54 - A1 ","wpwty","messenger, envoy","G18v"
"L","E","M42( 0, 90) - X1( 0, 600) - A2( 600, 90) - X2( 1290, 0) - W22( 1800, 45) - Z8( 1305, 600) - Z3( 2340, 120) ","M42 - X1 - A2 - X2 - W22 - Z8 - Z3 ","wnmt","food","G18v"
"L","E","Z11( 0, 0) - G17( 510, 0) - A2( 1440, 15) ","Z11 - G17 - A2 ","wnm","eat","G18v"
"L","E","M42( 165, 15) - N35( 0, 630) - G17( 885, 75) - A2( 1785, 0) ","M42 - N35 - G17 - A2 ","wnm","eat","G18v"
"L","E","N35( 0, 15) - X1( 195, 465) - D36( 915, 15) - Z1( 1230, 375) - Y1( 1860, 0) - Z2( 1995, 375) ","N35 - X1 - D36 - Z1 - Y1 - Z2 ","nt  a","custom, habit (f.)","G18v"
"L","E","O4( 225, 0) - N35( 0, 525) - Q6( 945, 90) ","O4 - N35 - Q6 ","hn","box","G18v"
"L","E","G36( 30, 15) - D21( 0, 585) - V28( 1005, 15) - W23( 1470, 0) - D40( 1290, 435) ","G36 - D21 - V28 - W23 - D40 ","wrH","anoint","G18v"
"L","E","S29( 0, 30) - T31( 270, 150) - G17( 1215, 0) - Y1V( 2175, 0) ","S29 - T31 - G17 - Y1V ","sSm","condition, procedure","G18v"
"L","E","S29( 0, 165) - V4( 285, 180) - G1( 1020, 150) - N31( 1710, 0) - D54( 1800, 375) ","S29 - V4 - G1 - N31 - D54 ","swA","pass","G18v (causative)"
"L","E","S29( 0, 30) - Y5( 285, 45) - N35( 270, 630) - J1( 1230, 0) - U22( 1215, 405) - Y1V( 1755, 60) ","S29 - Y5 - N35 - J1 - U22 - Y1V ","smnx","furnish, adorn","G18v (causative)"
"L","E","Y5( 30, 30) - N35( 0, 615) - F35( 1005, 15) - I9( 1365, 0) - D21( 1290, 540) - O24( 2205, 15) - O49( 2835, 165) ","Y5 - N35 - F35 - I9 - D21 - O24 - O49 ","mn  nfr","Memphis","G18v (locality)"
"L","E","G17( 45, 135) - D36( 0, 930) - U28( 975, 345) - G1( 1395, 345) - M17( 2205, 330) - M17( 2505, 330) - G43( 2790, 330) - T14( 3420, 330) - A1( 3735, 0) - Z2( 3735, 765) ","G17 - D36 - U28 - G1 - M17 - M17 - G43 - T14 - A1 - Z2 ","mDAw","Medjay, a Nubian people","G18v (noun)"
"L","E","D21( 15, 0) - G17( 0, 225) - D4( 885, 315) ","D21 - G17 - D4 ","rmi","weep","G18v (verb)"
