"Gardiner Lesson 24","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","D58( 0, 30) - X1( 540, 0) - U30( 525, 270) - G1( 1065, 15) - G37( 1890, 120) ","D58 - X1 - U30 - G1 - G37 ","btA","wrong, crime","G24v"
"L","E","D52( 15, 0) - X1( 195, 330) - D21( 0, 570) - G43( 870, 120) - D50( 1530, 30) - D50( 1815, 30) - A2( 2085, 75) - A1( 2715, 75) ","D52 - X1 - D21 - G43 - D50 - D50 - A2 - A1 ","mtrw","witness","G24v"
"L","E","S29( 0, 105) - M36( 420, 0) - D21( 300, 510) - A55( 1095, 210) ","S29 - M36 - D21 - A55 ","sDr","spend the night, lie","G24v"
"L","E","V28( 0, 0) - G36( 300, 0) - D21( 285, 540) - G43( 1275, 0) - G37( 1935, 135) - A1( 2760, 15) ","V28 - G36 - D21 - G43 - G37 - A1 ","Hwrw","poor man","G24v"
"L","E","R8( 0, 30) - T28( 555, 0) - D21( 420, 540) - N25( 1380, 270) ","R8 - T28 - D21 - N25 ","Xrt  nTr","necropolis","G24v"
"L","E","M17( 0, 90) - V31( 300, 300) - D58( 1155, 90) - D3( 1575, 180) - A2( 2445, 0) ","M17 - V31 - D58 - D3 - A2 ","i(A)kb","mourning","G24v"
"L","E","U28( 0, 0) - U28( 420, 0) - W24( 915, 30) - X1( 1440, 165) - J8( 945, 495) - A40( 1935, 30) - Z3( 2445, 60) ","U28 - U28 - W24 - X1 - J8 - A40 - Z3 ","DADAt","magistrates, assessors","G24v"
"L","E","P4( 0, 0) - D36( 0, 375) - V1( 855, 105) - A2( 1290, 0) ","P4 - D36 - V1 - A2 ","wHa","interpret, explain","G24v"
"L","E","D21( 0, 0) - N29( 285, 525) - D41( 945, 0) - D54( 1065, 390) ","D21 - N29 - D41 - D54 ","rq","incline","G24v"
"L","E","L1( 240, 0) - D21( 0, 735) - G43( 945, 180) - A53( 1575, 180) - Y1( 1830, 180) - Z2( 1980, 600) ","L1 - D21 - G43 - A53 - Y1 - Z2 ","xprw","forms, stages of growth or development","G24v"
"L","E","I10( 405, 0) - N35( 0, 330) - D46( 15, 495) - F2( 1260, 90) ","I10 - N35 - D46 - F2 ","Dnd","be wrathful, wrath (n.)","G24v"
"L","E","I10( 405, 0) - N35( 0, 330) - D46( 15, 495) - F2( 1260, 90) ","I10 - N35 - D46 - F2 ","Dnd","be wrathful, wrath (n.)","G24v"
"L","E","G87( 0, 15) - M12( 930, 0) - G1( 1320, 0) - X1( 2160, 15) - U38( 2670, 0) ","G87 - M12 - G1 - X1 - U38 ","mxAt","balance","G24v"
"L","E","D50( 0, 45) - D36( 180, 165) - G43( 1065, 0) - G37( 1725, 105) ","D50 - D36 - G43 - G37 ","Dbaw","accusation, reproach","G24v"
"L","E","O28( 0, 45) - Z1( 300, 270) - G14( 570, 45) - X1( 1560, 45) - I9( 1365, 525) - A40( 2145, 0) ","O28 - Z1 - G14 - X1 - I9 - A40 ","iwn-mwt-f","Pillar-of-his-Mother, a name of Horus","G24v"
"L","E","S24( 0, 15) - O34( 15, 615) - A2( 945, 0) ","S24 - O34 - A2 ","Ts","utterance, sentence","G24v"
"L","E","S29( 0, 0) - W11( 540, 45) - D21( 285, 525) - A2( 1230, 15) ","S29 - W11 - D21 - A2 ","sgr","peace, quiet","G24v (causative verb and noun)"
"L","E","W9( 0, 120) - G17( 390, 45) - G43( 1260, 0) - C4( 1890, 45) ","W9 - G17 - G43 - C4 ","Xnmw","Chnum, the ram-headed god of the First Cataract","G24v (divinity)"
"L","E","D46( 0, 0) - N35( 45, 510) - M17( 945, 45) - X1( 1350, 0) - V11( 1290, 240) - N23( 1965, 15) - Z1( 2085, 375) ","D46 - N35 - M17 - X1 - V11 - N23 - Z1 ","dnit","dam","G24v (noun)"
"L","E","V22( 0, 165) - V28( 765, 0) - N35A( 1080, 15) ","V22 - V28 - N35A ","mHi","drown","G24v (verb)"
"L","E","S29( 0, 0) - Q3( 615, 15) - D46( 270, 450) - M44( 1215, 0) - Y1V( 1620, 0) ","S29 - Q3 - D46 - M44 - Y1V ","spd","be keen, ready, caus (sspd) make ready","G24v (verb)"
