"Gardiner Lesson 9","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","M17( 0, 0) - M40( 285, 15) - O34( 540, 30) - O1( 660, 375) ","M17 - M40 - O34 - O1 ","is","tomb, tomb-chamber","G09v"
"L","E","D2( 195, 0) - D21( 0, 525) - M17( 945, 15) - M17( 1245, 15) - X1( 1515, 15) - J19( 1500, 285) - D40( 2025, 30) - Z2( 2130, 450) ","D2 - D21 - M17 - M17 - X1 - J19 - D40 - Z2 ","Hryt","apprehension, dread","G09v"
"L","E","M29( 0, 0) - G17( 255, 15) - Y1V( 1125, 15) ","M29 - G17 - Y1V ","nDm","be sweet, agreeable, adj. sweet, agreeable, n. sweetness","G09v"
"L","E","S14( 0, 0) - N33A( 975, 315) ","S14 - N33A ","HD","silver, money","G09v"
"L","E","E9( 0, 135) - G43( 930, 0) - N35( 1575, 15) - N35( 1560, 615) - O1( 2415, 210) ","E9 - G43 - N35 - N35 - O1 ","iwnn","sanctuary","G09v"
"L","E","S38( 0, 0) - N29( 270, 180) - A40( 705, 0) ","S38 - N29 - A40 ","HqA","ruler, chieftain","G09v"
"L","E","J27( 0, 45) - W24( 390, 435) - X1( 825, 30) - Z4( 1335, 0) - D40( 870, 345) ","J27 - W24 - X1 - Z4 - D40 ","nDty","helper, avenger","G09v"
"L","E","G1( 0, 75) - X1( 960, 0) - F9( 825, 270) ","G1 - X1 - F9 ","At","moment","G09v"
"L","E","S12( 0, 0) - N33A( 15, 540) ","S12 - N33A ","nbw","gold","G09v"
"L","E","V28( 0, 0) - D36( 300, 30) - F51( 570, 345) ","V28 - D36 - F51 ","Ha","piece of flesh. plur. flesh, body","G09v"
"L","E","M1( 0, 0) - G17( 405, 15) - X1( 1230, 255) - Y1( 1590, 45) - Z2( 1695, 420) ","M1 - G17 - X1 - Y1 - Z2 ","imAt","charm, favour","G09v"
"L","E","V7( 270, 15) - N35( 0, 600) - D58( 915, 0) - X1( 1620, 0) - G11( 1425, 270) ","V7 - N35 - D58 - X1 - G11 ","Snbt","breast","G09v"
"L","E","V17( 0, 0) - Z1( 420, 180) ","V17 - Z1 ","sA","amulet, magic knot, protection","G09v"
"L","E","S29( 0, 30) - J1( 585, 0) - N35( 375, 360) - X1( 570, 540) - O30( 1245, 75) ","S29 - J1 - N35 - X1 - O30 ","sxnt","supporting pole, support","G09v"
"L","E","S29( 0, 15) - Y5( 345, 0) - N35( 345, 300) - Y1( 330, 465) ","S29 - Y5 - N35 - Y1 ","smn","make firm, establish","G09v (causative)"
"L","E","P5( 0, 0) - G43( 645, 30) ","P5 - G43 ","TAw","wind, breath","G09v (noun)"
"L","E","I9( 135, 0) - N35( 15, 285) - D46( 0, 465) - D19( 990, 150) ","I9 - N35 - D46 - D19 ","fnD","nose","G09v (noun)"
"L","E","U7( 0, 30) - D21( 0, 450) - G43( 945, 0) - X1( 1590, 15) - A2( 2100, 15) ","U7 - D21 - G43 - X1 - A2 ","mrwt","love","G09v (noun)"
"L","E","L1( 225, 0) - D21( 0, 840) ","L1 - D21 ","xpr","become, happen","G09v (verb intransitive)"
"L","E","W9( 0, 60) - G17( 360, 0) "," W9 - G17 ","Xnm","join, endue (m with)","G09v (verb transitive)"
"L","E","D58( 0, 0) - M17( 540, 0) - G1( 810, 30) - U16( 1635, 120) - Y1V( 2580, 15) ","D58 - M17 - G1 - U16 - Y1V ","biAi","marvel (n at)","G09v (verb)"
"L","E","G54( 0, 90) - A2( 795, 0) ","G54 - A2 ","snD","fear","G09v (verb)"
