"Gardiner Lesson 4","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","N35A( 0, 0) ","N35A ","mw","water","G04v"
"L","E","M17( 0, 0) - N29( 540, 30) - D21( 270, 525) - Y1V( 1230, 30) ","M17 - N29 - D21 - Y1V ","iqr","excellent","G04v"
"L","E","W19( 0, 0) - X1( 495, 15) - X1( 510, 510) - Y1V( 1035, 15) ","W19 - X1 - X1 - Y1V ","mitt","likeness, m mitt likewise","G04v"
"L","E","P6( 0, 105) - D36( 300, 0) - D54( 420, 345) ","P6 - D36 - D54 ","aHa","stand up, arise","G04v"
"L","E","M17( 0, 0) - U33( 300, 0) - M17( 600, 0) - M17( 900, 15) - A23( 1185, 15) ","M17 - U33 - M17 - M17 - A23 ","ity","sovereign, monarch","G04v"
"L","E","N28( 120, 0) - D36( 0, 465) - Y1V( 930, 30) ","N28 - D36 - Y1V ","xai","appear, shine (of sun, gods or king)","G04v"
"L","E","I1( 0, 0) - Z2( 60, 645) ","I1 - Z2 ","aSA","plentiful, rich, many","G04v"
"L","E","S34( 0, 0) - N35( 420, 45) - J1( 615, 300) ","S34 - N35 - J1 ","anx","live, life","G04v"
"L","E","F34( 0, 0) - Z1( 120, 375) ","F34 - Z1 ","ib","heart, wish","G04v"
"L","E","O29( 15, 0) - D36( 0, 405) - G1( 945, 15) - Y1V( 1755, 30) ","O29 - D36 - G1 - Y1V ","aA","great, large","G04v"
"L","E","X8( 0, 0) ","X8 ","rdi","give, place","G04v"
"L","E","D21( 0, 0) - X8( 225, 255) ","D21 - X8 ","rdi","give, place","G04v"
"L","E","F35( 0, 0) - I9( 330, 15) - D21( 240, 525) ","F35 - I9 - D21 ","nfr","good, beautiful, happy","G04v"
"L","E","V30( 0, 0) ","V30 ","nb","any, every, all","G04v"
"L","E","V30( 0, 0) - A1( 90, 255) ","V30 - A1 ","nb","lord, master","G04v"
"L","E","R4( 0, 0) - X1( 15, 420) - Q3( 585, 375) ","R4 - X1 - Q3 ","Htp","rest, go to rest, become at peace, set (of sun), peace (noun)","G04v"
"L","E","N26( 0, 225) - G43( 930, 0) - G37( 1575, 120) ","N26 - G43 - G37 ","Dw","evil, sad","G04v"
"L","E","D21( 30, 0) - D37( 0, 360) ","D21 - D37 ","rdi","give, place","G04v"
"L","E","D58( 0, 0) - M17( 525, 15) - N35( 780, 15) - G37( 795, 210) ","D58 - M17 - N35 - G37 ","bin","bad, miserable","G04v (adjective)"
"L","E","S29( 0, 0) - M12( 285, 15) - G1( 690, 30) - A2( 1500, 30) ","S29 - M12 - G1 - A2 ","sxi","remember","G04v (causative)"
"L","E","H6( 0, 0) - G43( 285, 15) - G37( 930, 225) ","H6 - G43 - G37 ","Sw","empty, free (with m of, from)","G04v (noun)"
"L","E","F32( 105, 0) - D21( 15, 210) - D46( 0, 450) - A17( 885, 75) ","F32 - D21 - D46 - A17 ","Xrd","child","G04v (noun)"
"L","E","W19( 0, 0) - M17( 345, 0) ","W19 - M17 ","mi","like","G04v (preposition)"
