"Gardiner Lesson 10","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","E9( 0, 225) - G43( 765, 0) - G37( 1335, 150) ","E9 - G43 - G37 ","iw","wrong, crime","G10v"
"L","E","R8( 0, 0) - O6( 465, 0) - X1( 1095, 15) - O1( 1005, 390) ","R8 - O6 - X1 - O1 ","Hwt-nTr","temple","G10v"
"L","E","D21( 0, 0) - Z1( 330, 390) - O1( 960, 0) - Z1( 1170, 390) ","D21 - Z1 - O1 - Z1 ","r  pr","temple, chapel, shrine","G10v"
"L","E","N35( 0, 15) - F20( 15, 165) - O34( 60, 735) - X1( 990, 0) - W11( 975, 315) ","N35 - F20 - O34 - X1 - W11 ","nst","seat","G10v"
"L","E","W11( 150, 0) - X1( 0, 480) - Z1( 450, 405) ","W11 - X1 - Z1 ","nst","seat","G10v"
"L","E","W11( 300, 0) - X1( 0, 525) - O1( 495, 405) ","W11 - X1 - O1 ","nst","seat","G10v"
"L","E","N41( 0, 150) - G17( 390, 0) - G43( 1245, 0) - P10( 1890, 45) ","N41 - G17 - G43 - P10 ","Hmw","rudder","G10v"
"L","E","M17( 0, 15) - G1( 285, 15) - G43( 930, 15) - X1( 1560, 0) - A19( 1965, 0) ","M17 - G1 - G43 - X1 - A19 ","iAw","old age","G10v"
"L","E","M17( 0, 0) - G1( 270, 0) - G43( 915, 0) - A19( 1560, 0) ","M17 - G1 - G43 - A19 ","iAw","old","G10v"
"L","E","O44( 0, 0) - X1( 405, 30) - Z1( 510, 330) ","O44 - X1 - Z1 ","iAt","office, function","G10v"
"L","E","M17( 0, 0) - G1( 270, 0) - X1( 915, 30) - O44( 1320, 30) "," M17 - G1 - X1 - O44 ","iAt","office, rank","G10v"
"L","E","N11( 0, 0) - N14( 195, 345) - D46( 945, 15) - N5( 1170, 330) ","N11 - N14 - D46 - N5 ","Abd","month","G10v"
"L","E","O4( 195, 0) - W24( 765, 195) - N35( 0, 570) - G43( 1155, 15) - A8( 1785, 15) ","O4 - W24 - N35 - G43 - A8 ","hnw","jubilation, praise","G10v"
"L","E","O6( 0, 0) - X1( 660, 0) - O1( 540, 315) ","O6 - X1 - O1 ","Hwt","house, large edifice","G10v"
"L","E","F4( 30, 0) - X1( 0, 675) - Z4( 510, 570) - F34( 975, 150) ","F4 - X1 - Z4 - F34 ","HAty","heart, breast","G10v"
"L","E","O35( 0, 210) - D58( 705, 0) - D54( 1110, 210) ","O35 - D58 - D54 ","sbi","send, pass (time)","G10v"
"L","E","T18( 0, 0) - S29( 330, 0) - D54( 675, 285) ","T18 - S29 - D54 ","Sms","follow, accompany, serve","G10v"
"L","E","D21( 0, 225) - G17( 915, 0) - K1( 1845, 195) ","D21 - G17 - K1 ","rm","fish","G10v"
"L","E","G1( 0, 0) - V28( 825, 15) - X1( 1125, 15) - N23( 1125, 480) ","G1 - V28 - X1 - N23 ","AHt","field, arable land, earth, mound","G10v"
"L","E","W4( 0, 0) ","W4 ","Hb","festival, holiday","G10v"
"L","E","V28( 0, 30) - D58( 240, 0) - W3( 735, 360) ","V28 - D58 - W3 ","Hb","festival, holiday","G10v"
"L","E","G1( 0, 15) - Q3( 1140, 0) - D46( 810, 465) - G38( 1695, 75) ","G1 - Q3 - D46 - G38 ","Apd","bird","G10v"
"L","E","S29( 0, 0) - D28( 285, 120) - G1( 1110, 30) - U13( 1920, 135) - A24( 2850, 30) ","S29 - D28 - G1 - U13 - A24 ","skA","cultivate, plough","G10v"
"L","E","I6( 0, 165) - G17( 795, 0) - Y1V( 1755, 0) ","I6 - G17 - Y1V ","km","complete, completion","G10v"
"L","E","N29( 0, 225) - G1( 405, 0) - A28( 1230, 0) ","N29 - G1 - A28 ","qAi","tall, high","G10v (adjective and verb)"
"L","E","N29( 0, 165) - G1( 420, 0) - G43( 1260, 0) - A28( 1920, 15) - Y1V( 2595, 30) ","N29 - G1 - G43 - A28 - Y1V ","qAw","height","G10v (adjective and verb)"
"L","E","D58( 0, 0) - V13( 420, 30) - D54( 540, 255) ","D58 - V13 - D54 ","bT","abandon, forsake","G10v (verb  transitive)"
