"Gardiner Lesson 13","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","D35( 0, 0) - X1( 0, 390) - Z4( 495, 300) - G37( 1005, 30) ","D35 - X1 - Z4 - G37 ","iwty","who.......not, which.......not","G13v"
"L","E","N35( 30, 0) - X1( 0, 330) - Z4( 510, 240) ","N35 - X1 - Z4 ","nty","who, which","G13v"
"L","E","M17( 0, 0) - N35( 270, 0) - D21( 270, 510) - O39( 1110, 240) ","M17 - N35 - D21 - O39 ","inr","stone","G13v"
"L","E","D28( 0, 0) - Z1( 240, 630) ","D28 - Z1 ","kA","spirit, soul, double","G13v"
"L","E","D21( 0, 15) - D46( 0, 450) - M32( 930, 0) - Y1V( 1350, 0) ","D21 - D46 - M32 - Y1V ","rd","grow","G13v"
"L","E","D36( 120, 0) - X1( 0, 510) - O1( 510, 390) ","D36 - X1 - O1 ","at","house, department, iry-at official, one belonging to a department","G13v"
"L","E","G40( 0, 15) - X1( 945, 0) - X6( 930, 240) ","G40 - X1 - X6 ","pAwt","antiquity, old time","G13v"
"L","E","M3( 15, 0) - J1( 0, 300) - X1( 495, 450) - G4( 1020, 30) - O40( 1920, 120) ","M3 - J1 - X1 - G4 - O40 ","xtyw","staircase, terrace, hillside","G13v"
"L","E","D36( 0, 0) - D21( 0, 390) - N31( 930, 120) ","D36 - D21 - N31 ","ar","ascend, approach","G13v"
"L","E","D36( 15, 0) - X1( 0, 465) - F51( 525, 360) ","D36 - X1 - F51 ","at","limb, member (of body)","G13v"
"L","E","D21( 0, 0) - G43( 105, 255) - D46( 915, 15) - X1( 1155, 660) - T12( 1845, 0) - O39( 1830, 690) ","D21 - G43 - D46 - X1 - T12 - O39 ","rwdt","hard stone, sandstone","G13v"
"L","E","O29( 0, 0) - O31( 0, 345) ","O29 - O31 ","aA","door","G13v"
"L","E","D36( 0, 0) - N37( 0, 405) - M41( 915, 195) ","D36 - N37 - M41 ","aS","cedar (properly 'pine')","G13v"
"L","E","J1( 210, 0) - D21( 0, 420) - Q3( 330, 675) - S42( 930, 150) - A24( 1350, 165) ","J1 - D21 - Q3 - S42 - A24 ","xrp","undertake, make offering of","G13v"
"L","E","D1( 120, 0) - Q3( 0, 555) - Z4( 330, 525) ","D1 - Q3 - Z4 ","tpy","(who is) upon, chief, first","G13v"
"L","E","T8( 0, 0) ","T8 ","tpy","(who is) upon, first, chief","G13v"
"L","E","U1( 0, 0) - G1( 915, 0) - Y1V( 1725, 0) ","U1 - G1 - Y1V ","mA(w)","be new, fresh","G13v"
"L","E","M26( 0, 0) ","M26 ","SmAw","Upper Egypt","G13v"
"L","E","D4( 135, 0) - Q1( 0, 225) - A40( 525, 240) ","D4 - Q1 - A40 ","wsir","Osiris, the god of the dead","G13v"
"L","E","G17( 0, 90) - U1( 945, 105) - G43( 1890, 0) - X1( 1950, 765) - Y1V( 2550, 120) ","G17 - U1 - G43 - X1 - Y1V ","m mAwt","anew, lit. in newness","G13v"
"L","E","T28( 0, 0) - X1( 120, 540) - O4( 870, 15) - D21( 660, 540) - G43( 1590, 15) - N5( 2205, 105) ","T28 - X1 - O4 - D21 - G43 - N5 ","hrw","daytime","G13v"
"L","E","M26( 0, 0) - D36( 630, 15) - N24( 585, 360) ","M26 - D36 - N24 ","SmAw","Upper Egypt","G13v"
"L","E","N16( 15, 0) - V22( 0, 300) - V28( 975, 0) - G43( 1275, 0) - M15( 1920, 15) ","N16 - V22 - V28 - G43 - M15 ","tA  mHw","Lower Egypt","G13v (locality)"
