"Gardiner Lesson 14","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","W25( 0, 150) - N35( 495, 0) - W24( 510, 555) - G43( 900, 150) - Y1( 1560, 165) - Z2( 1695, 570) ","W25 - N35 - W24 - G43 - Y1 - Z2 ","inw","tribute, gifts","G14v"
"L","E","V6( 0, 0) - Z1( 105, 615) ","V6 - Z1 ","sSr","thing, concern","G14v"
"L","E","S29( 0, 0) - X1( 285, 15) - Q3( 375, 450) - G43( 780, 30) - U21( 1395, 30) - Y1( 1410, 555) ","S29 - X1 - Q3 - G43 - U21 - Y1 ","stpw","the choicest, best","G14v"
"L","E","G43( 405, 0) - X1( 0, 495) - X1( 870, 0) - A53( 1380, 15) ","G43 - X1 - X1 - A53 ","twt","statue, image","G14v"
"L","E","V29( 0, 0) - V28( 525, 15) - Y1V( 810, 15) ","V29 - V28 - Y1V ","wAH","(1) trans. place, put down (2) intrans. endure, adj. enduring, durable","G14v"
"L","E","T21( 15, 0) - D36( 0, 735) - D36( 930, 0) - G43( 1065, 345) ","T21 - D36 - D36 - G43 ","waaw","privacy","G14v"
"L","E","O11( 0, 0) - D36( 360, 15) - O1( 435, 330) ","O11 - D36 - O1 ","aH","palace","G14v"
"L","E","F40( 0, 0) - X1( 225, 660) - F34( 870, 195) ","F40 - X1 - F34 ","Awt-ib","joy, lit. expansion of heart","G14v"
"L","E","D34( 0, 105) - G1( 930, 0) - A24( 1635, 0) ","D34 - G1 - A24 ","aHA","fight","G14v"
"L","E","I10( 330, 0) - X1( 255, 405) - N17( 0, 705) ","I10 - X1 - N17 ","Dt","estate, domain","G14v"
"L","E","R11( 0, 0) ","R11 ","Dd","durability, stability","G14v"
"L","E","S29( 0, 0) - J1( 270, 345) - G17( 795, 15) - J1( 1725, 15) - F34( 2220, 15) - Z1( 2355, 450) ","S29 - J1 - G17 - J1 - F34 - Z1 ","sxmx  ib","amusement, lit. distract the heart","G14v"
"L","E","J1( 255, 0) - D21( 0, 420) - X1( 225, 690) - F34( 885, 0) - Z1( 1020, 570) ","J1 - D21 - X1 - F34 - Z1 ","xrt-ib","desire, wish, lit. what belongs to the heart","G14v"
"L","E","Q1( 0, 15) - X1( 660, 15) - O1( 540, 390) - D2( 1410, 0) - Z1( 1545, 495) ","Q1 - X1 - O1 - D2 - Z1 ","st-Hr","charge, care, lit. place of the face","G14v"
"L","E","M42( 240, 0) - N35( 0, 570) ","M42 - N35 ","wn","being, in the phrase 'n wn mAa' in true being, truly","G14v"
"L","E","R11( 0, 0) - D46( 405, 15) - Y1( 405, 405) ","R11 - D46 - Y1 ","Dd","be stable","G14v"
"L","E","D21( 0, 0) - G43( 150, 270) - D46( 945, 15) - T12( 1080, 405) - Y1V( 1905, 120) ","D21 - G43 - D46 - T12 - Y1V ","rwD","be hard, flourish, adj. flourishing","G14v"
"L","E","R11( 0, 0) - D46( 390, 0) - Y1( 405, 495) ","R11 - D46 - Y1 ","Dd","be stable","G14v"
"L","E","D50( 0, 0) - X1( 285, 15) - S20( 390, 345) ","D50 - X1 - S20 ","Dbat","signet-ring","G14v"
"L","E","S19( 0, 0) - X1( 210, 660) "," S19 - X1 ","sDAwt","precious things, treasures","G14v"
"L","E","S29( 0, 0) - O29( 270, 0) - D36( 270, 405) - Y1V( 1230, 0) ","S29 - O29 - D36 - Y1V ","saA","make great, magnify","G14v"
"L","E","P6( 0, 15) - G43( 375, 0) - N5( 1005, 150) ","P6 - G43 - N5 ","aHaw","period, space (of time)","G14v"
"L","E","S29( 0, 0) - X1( 300, 15) - Q3( 390, 465) - U21( 795, 240) ","S29 - X1 - Q3 - U21 ","stp","choose","G14v"
"L","E","S29( 0, 15) - W17( 360, 0) - N35( 1005, 45) - X1( 1275, 375) ","S29 - W17 - N35 - X1 ","sxnti","promote, make prominent","G14v (causative)"
"L","E","G5( 0, 0) ","G5 ","Hr","the god Horus","G14v (divinity)"
"L","E","S40( 0, 0) ","S40 ","wAs","dominion, lordship (an old word, occurring only in formulae)","G14v (noun and verb)"
