"Gardiner Lesson 19","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","D21( 0, 15) - O34( 0, 600) - T13( 945, 0) - D4( 1470, 285) ","D21 - O34 - T13 - D4 ","rs","wake (intrans.)","G19v"
"L","E","J27( 0, 0) - W24( 405, 405) - A24( 810, 0) ","J27 - W24 - A24 ","nD","protect, rescue","G19v"
"L","E","S29( 0, 60) - U5( 270, 0) - D36( 255, 480) - Y1V( 1230, 90) ","S29 - U5 - D36 - Y1V ","smAa","make true","G19v"
"L","E","D46( 0, 0) - G17( 15, 285) - T30( 885, 255) - A2( 1755, 270) ","D46 - G17 - T30 - A2 ","dm","pronounce, rn a name","G19v"
"L","E","D52( 0, 0) - X1( 240, 465) - G43( 885, 15) - X1( 1770, 30) - D53( 1530, 375) ","D52 - X1 - G43 - X1 - D53 ","mtwt","poisen","G19v"
"L","E","Z9( 0, 0) - X1( 30, 495) - Q7( 600, 0) ","Z9 - X1 - Q7 ","sDt","fire, flame","G19v"
"L","E","S29( 0, 30) - I10( 510, 30) - X1( 585, 465) - Z9( 1170, 120) - Q7( 1635, 0) ","S29 - I10 - X1 - Z9 - Q7 ","sDt","fire, flame","G19v"
"L","E","J1( 135, 0) - I9( 0, 435) - X1( 900, 60) - Z4( 885, 360) - A14( 1320, 135) ","J1 - I9 - X1 - Z4 - A14 ","xfty","enemy, opponent","G19v"
"L","E","D21( 0, 30) - N29( 240, 345) - D41( 885, 150) - F34( 1755, 0) - Z1( 1860, 360) - A14( 2160, 75) ","D21 - N29 - D41 - F34 - Z1 - A14 ","rq  ib","disaffected, envious, lit. downward inclined of heart","G19v"
"L","E","V31( 0, 0) - V31( 15, 510) - G43( 945, 0) - N2( 1575, 0) ","V31 - V31 - G43 - N2 ","kkw","darkness","G19v"
"L","E","T10( 0, 0) - X1( 0, 390) - Z4( 450, 300) - T14( 900, 0) - A1( 1185, 0) ","T10 - X1 - Z4 - T14 - A1 ","pDty","bowman, foreigner","G19v"
"L","E","D46( 0, 0) - G17( 0, 315) - T30( 945, 345) - A24( 1890, 225) ","D46 - G17 - T30 - A24 ","dm","be sharp, sharpen","G19v"
"L","E","N9( 30, 0) - X1( 0, 525) - R8( 480, 15) - Z3( 900, 45) ","N9 - X1 - R8 - Z3 ","psDt","Ennead of gods, company of nine gods","G19v"
"L","E","T14( 0, 0) - G17( 300, 0) - A1( 1050, 0) ","T14 - G17 - A1 ","aAm","Asiatic","G19v"
"L","E","G17( 0, 15) - P6( 960, 0) - D36( 1245, 15) - X1( 1470, 480) - O1( 2190, 255) ","G17 - P6 - D36 - X1 - O1 ","maHat"," tomb","G19v"
"L","E","V28( 0, 15) - D28( 390, 60) - G1( 1200, 0) - A2( 2025, 15) ","V28 - D28 - G1 - A2 ","HqAw","magic","G19v"
"L","E","R8( 0, 0) - T22( 405, 0) - N35( 840, 0) - V13( 810, 195) - D21( 810, 420) - N33( 1950, 30) - Z2( 1725, 405) ","R8 - T22 - N35 - V13 - D21 - N33 - Z2 ","snTr","incense","G19v"
"L","E","J1( 255, 0) - O34( 0, 405) - D21( 15, 555) - A24( 945, 0) ","J1 - O34 - D21 - A24 ","xsr","dispel, drive away","G19v"
"L","E","S29( 0, 15) - G17( 420, 15) - J1( 1275, 0) - A2( 1695, 0) ","S29 - G17 - J1 - A2 ","smx","forget","G19v (causative)"
"L","E","S29( 0, 45) - D36( 285, 60) - D21( 285, 555) - N31( 1230, 0) - D54( 1320, 390) ","S29 - D36 - D21 - N31 - D54 ","sar","cause to mount up, bring","G19v (causative)"
"L","E","G17( 15, 0) - D36( 0, 675) ","G17 - D36 ","m","who ?, what ? ","G19v (interrogative)"
"L","E","G17( 0, 0) - D38( 840, 105) ","G17 - D38 ","m","who ?, what ?","G19v (interrogative)"
"L","E","U35( 0, 15) - A24( 930, 0) ","U35 - A24 ","xsf","oppose, repress, repel, with n, punish","G19v (verb transitive)"
"L","E","J1( 240, 0) - O34( 0, 405) - I9( 105, 555) - U34( 945, 45) - A24( 1230, 60) ","J1 - O34 - I9 - U34 - A24 ","xsf","oppose, repress, repel, with n, punish","G19v (verb transitive)"
"L","E","F31( 0, 0) - S29( 540, 30) - B3( 855, 60) ","F31 - S29 - B3 ","msi","bear, give birth, form, fashion (statue)","G19v (verb)"
"L","E","V7( 225, 0) - N35( 0, 600) - A2( 885, 75) "," V7 - N35 - A2 ","Sni","exorcise, conjure","G19v (verb)"
