"Gardiner Lesson 11","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","Q3( 135, 0) - F32( 0, 390) - D21( 840, 0) - F46( 810, 330) - D54( 1740, 105) ","Q3 - F32 - D21 - F46 - D54 ","pXr","go round","G11v"
"L","E","M17( 0, 0) - X1( 480, 30) - N35( 255, 570) - N5( 1185, 105) ","M17 - X1 - N35 - N5 ","itn","sun's disk, sun","G11v"
"L","E","A12( 0, 315) - A1( 750, 0) - Z2( 690, 750) ","A12 - A1 - Z2 ","mSa","army, expedition","G11v"
"L","E","D36( 0, 0) - D36( 0, 465) - G43( 945, 15) - Z4( 1545, 15) - D5( 2070, 345) ","D36 - D36 - G43 - Z4 - D5 ","aawy","sleep","G11v"
"L","E","N41( 225, 105) - O34( 0, 570) - A7( 900, 0) ","N41 - O34 - A7 ","Hmsi","sit down, sit, dwell","G11v"
"L","E","V13( 0, 45) - O34( 45, 480) - U39( 915, 0) - A24( 1320, 0) ","V13 - O34 - U39 - A24 ","Ts","raise up","G11v"
"L","E","O29( 0, 15) - D36( 0, 390) - G1( 930, 0) - N31( 1740, 180) ","O29 - D36 - G1 - N31 ","aA","here","G11v"
"L","E","D4( 0, 0) - X1( 60, 345) - Z1( 540, 255) ","D4 - X1 - Z1 ","irt","eye","G11v"
"L","E","G43( 0, 0) - S29( 645, 15) - J1( 930, 15) - W10( 930, 495) - Y1V( 1455, 15) ","G43 - S29 - J1 - W10 - Y1V ","wsx","be broad, wide, adj. broad, wide, n. breadth","G11v"
"L","E","F4( 0, 0) - X1( 0, 585) - X1( 510, 585) - V1( 1035, 120) ","F4 - X1 - X1 - V1 ","HAtt","rope in front of a ship","G11v"
"L","E","F35( 0, 0) - F35( 345, 15) - F35( 675, 0) ","F35 - F35 - F35 ","nfrw","beauty","G11v"
"L","E","F42( 0, 0) - D21( 0, 375) - D54( 945, 60) ","F42 - D21 - D54 ","spr","draw night, approach, petition","G11v"
"L","E","X1( 285, 30) - U15( 0, 345) - G17( 915, 0) - A40( 1815, 0) ","X1 - U15 - G17 - A40 ","itm","Atum, the solar god of Heliopolis","G11v"
"L","E","F22( 0, 165) - G43( 795, 30) - Z4( 1440, 30) - M17( 1950, 30) - M17( 2220, 15) - X1( 2490, 0) - V1( 2535, 240) ","F22 - G43 - Z4 - M17 - M17 - X1 - V1 ","pHwyt","rope at back of a ship","G11v"
"L","E","P5( 0, 0) - G43( 810, 15) - A24( 1455, 15) ","P5 - G43 - A24 ","nfw","réis, skipper","G11v"
"L","E","S29( 0, 150) - U23( 285, 150) - G17( 555, 0) - D21( 555, 765) - A1( 1485, 105) ","S29 - U23 - G17 - D21 - A1 ","smr","courtier, friend","G11v"
"L","E","S34( 0, 0) - F21( 375, 135) ","S34 - F21 ","anx","ear","G11v"
"L","E","S24( 0, 0) - O34( 15, 585) - G43( 960, 0) - A24( 1605, 0) "," S24 - O34 - G43 - A24 ","Tsw","commander (of a fortress or army)","G11v"
"L","E","U7( 0, 0) - D21( 0, 540) - M17( 945, 15) - M17( 1230, 15) - X1( 1515, 30) - N23( 1500, 510) ","U7 - D21 - M17 - M17 - X1 - N23 ","mryt","river-bank","G11v"
"L","E","U5( 15, 0) - D36( 0, 510) - X1( 960, 345) - H6( 1500, 60) - Y1V( 1770, 60) ","U5 - D36 - X1 - H6 - Y1V ","mAat","truth, right, justice","G11v"
"L","E","S29( 0, 0) - F46( 270, 15) - D21( 270, 510) - D54( 1170, 120) ","S29 - F46 - D21 - D54 ","spXr","cause to circulate","G11v (causative)"
"L","E","Q3( 90, 0) - X1( 420, 60) - D21( 0, 480) - M6( 915, 0) - A2( 1530, 0) ","Q3 - X1 - D21 - M6 - A2 ","ptr","who ?","G11v (interrogative)"
"L","E","O28( 0, 0) - W24( 300, 0) - O49( 300, 345) ","O28 - W24 - O49 ","iwnw","Heliopolis, On of the Bible, a town near Cairo","G11v (locality)"
"L","E","I10( 225, 270) - X1( 195, 720) - N17( 0, 1020) - A1( 1035, 0) - B1( 1665, 0) - Z2( 1275, 765) ","I10 - X1 - N17 - A1 - B1 - Z2 ","Dwt","serf (fem.)","G11v (plural)"
