"Gardiner Lesson 21","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","G17( 0, 120) - I9( 870, 0) - D28( 825, 285) - X1( 1815, 60) - N33A( 1590, 720) ","G17 - I9 - D28 - X1 - N33A ","mfkAt","turquoise","G21v"
"L","E","G17( 0, 0) - I9( 915, 0) - V31( 840, 510) - X1( 2040, 75) - N33A( 1800, 600) ","G17 - I9 - V31 - X1 - N33A ","mfkAt","turquoise","G21v"
"L","E","N35( 0, 90) - M3( 15, 435) - J1( 1020, 15) - X1( 990, 435) - G43( 1560, 15) - D40( 2220, 0) - Z2( 2340, 420) ","N35 - M3 - J1 - X1 - G43 - D40 - Z2 ","nxtw","victory","G21v"
"L","E","T22( 0, 0) - N35( 360, 15) - D19( 480, 195) ","T22 - N35 - D19 ","sn","smell, kiss","G21v"
"L","E","R4( 0, 0) - X1( 60, 555) - Q3( 600, 495) - G43( 930, 0) - Y1( 1575, 30) - Z2( 1725, 390) ","R4 - X1 - Q3 - G43 - Y1 - Z2 ","Htpw","peace","G21v"
"L","E","J1( 0, 195) - S29( 525, 45) - D58( 960, 0) - D46( 1545, 15) - N33A( 1575, 525) ","J1 - S29 - D58 - D46 - N33A ","xsbD","lapis lazuli","G21v"
"L","E","N18( 0, 0) - Z1( 60, 315) - N21( 435, 330) ","N18 - Z1 - N21 ","iw","island","G21v"
"L","E","G17( 0, 0) - D36( 915, 15) - V31( 960, 495) - A24( 1845, 15) ","G17 - D36 - V31 - A24 ","mki","protect","G21v"
"L","E","G36( 0, 0) - D21( 30, 585) - A19( 930, 15) ","G36 - D21 - A19 ","wr","chieftain","G21v"
"L","E","N29( 0, 240) - D58( 405, 0) - F46( 945, 0) - Y1( 945, 495) ","N29 - D58 - F46 - Y1 ","q(A)b","double (vb.)","G21v"
"L","E","G43( 0, 135) - I10( 630, 0) - D36( 630, 750) - J21( 1575, 135) - Y1V( 1995, 135) ","G43 - I10 - D36 - J21 - Y1V ","wDa","divide, sever, judge, judge between","G21v"
"L","E","V25( 0, 30) - M17( 300, 15) - M17( 600, 0) - X1( 1035, 0) - D54( 900, 240) ","V25 - M17 - M17 - X1 - D54 ","wDyt","(military) expedition","G21v"
"L","E","D36( 0, 0) - V4( 15, 345) - G1( 900, 150) - D40( 1515, 300) - D4( 2340, 15) - D21( 2370, 330) - I9( 2385, 720) ","D36 - V4 - G1 - D40 - D4 - D21 - I9 ","awA  ir(y)  .f","brigand","G21v"
"L","E","V6( 0, 105) - S29( 405, 0) - D21( 690, 15) - T11( 675, 585) ","V6 - S29 - D21 - T11 ","Ssr","arrow","G21v"
"L","E","D21( 0, 135) - V13( 15, 420) - N35( 810, 165) - W24( 1050, 345) - G43( 1605, 0) - N25( 2160, 195) ","D21 - V13 - N35 - W24 - G43 - N25 ","rTnw","Retenu, name of Palestine and Syria","G21v"
"L","E","Q3( 315, 15) - O34( 0, 645) - D46( 930, 0) - F38( 1095, 285) ","Q3 - O34 - D46 - F38 ","psd","back","G21v"
"L","E","R8( 0, 0) - R4( 465, 0) - X1( 495, 465) - Q3( 1140, 390) - Z8( 1485, 0) - Z2( 1605, 375) ","R8 - R4 - X1 - Q3 - Z8 - Z2 ","Htpw  nTr","offerings (to the gods)","G21v"
"L","E","F13( 0, 0) - Q3( 165, 585) - N31( 855, 0) - X1( 765, 600) - Z2( 1290, 525) - E18( 2145, 120) ","F13 - Q3 - N31 - X1 - Z2 - E18 ","wp  wAwt","Wepwawet, 'opener of the ways', the wolf-god of Abydos and Asyut","G21v (divinity)"
