"Gardiner Lesson 20","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","S34( 0, 15) - N18( 375, 0) - Z2( 390, 375) ","S34 - N18 - Z2 ","anxw","victuals","G20v"
"L","E","V31( 0, 45) - I9( 60, 405) - S28( 795, 0) ","V31 - I9 - S28 ","kf","uncover","G20v"
"L","E","S23( 0, 0) - D46( 840, 0) - Y1( 825, 315) ","S23 - D46 - Y1 ","dmD","total","G20v"
"L","E","M14( 0, 90) - G36( 630, 0) - D21( 615, 540) - N36( 1455, 285) ","M14 - G36 - D21 - N36 ","wAD  wr","the sea, lit. the great green","G20v"
"L","E","V28( 0, 75) - I9( 390, 0) - F40( 255, 270) - G43( 1215, 90) - I14( 1875, 360) ","V28 - I9 - F40 - G43 - I14 ","HfAw","snake","G20v"
"L","E","Y5( 15, 0) - N35( 0, 315) - X1( 270, 555) ","Y5 - N35 - X1 ","mnt","quantum, fixed ration","G20v"
"L","E","G35( 0, 255) - G43( 840, 0) - Z8( 1500, 60) - Z2( 1605, 420) ","G35 - G43 - Z8 - Z2 ","aqw","provisions, revenue","G20v"
"L","E","U21( 0, 0) - V16( 0, 360) - O1( 795, 195) ","U21 - V16 - O1 ","stp  sA","palace","G20v"
"L","E","X1( 0, 165) - J1( 525, 0) - N35( 75, 600) - O25( 1095, 0) ","X1 - J1 - N35 - O25 ","txn","obelisk","G20v"
"L","E","Z9( 240, 0) - N35( 0, 465) ","Z9 - N35 ","Sbn","various (adj.)","G20v"
"L","E","G35( 0, 315) - N29( 855, 225) - M17( 1275, 195) - M17( 1560, 195) - A1( 1905, 0) - Z2( 1830, 645) ","G35 - N29 - M17 - M17 - A1 - Z2 ","aqyw","members of household","G20v"
"L","E","F40( 0, 0) - G43( 825, 15) ","F40 - G43 ","Aw","length (of space, time)","G20v"
"L","E","D21( 45, 15) - J1( 0, 330) - X1( 510, 495) - Y1V( 1035, 0) ","D21 - J1 - X1 - Y1V ","rxt","amount, number (n.)","G20v"
"L","E","D46( 0, 0) - O34( 75, 450) - W22( 900, 90) ","D46 - O34 - W22 ","ds","jug, beer-jug","G20v"
"L","E","S41( 0, 15) - S12( 315, 0) - N33( 165, 450) - Z2( 450, 450) ","S41 - S12 - N33 - Z2 ","Dam","fine gold","G20v"
"L","E","U13( 0, 0) - D36( 15, 600) - O1( 915, 300) ","U13 - D36 - O1 ","Sna","ergastulum, magazine","G20v"
"L","E","Q3( 345, 45) - N37( 795, 60) - O34( 0, 555) - Z9( 1005, 315) - Y1V( 1755, 0) ","Q3 - N37 - O34 - Z9 - Y1V ","psS","divide","G20v"
"L","E","W22( 0, 120) - G43( 405, 0) - A1( 1035, 0) ","W22 - G43 - A1 ","wdpw","butler","G20v"
"L","E","S29( 0, 0) - J1( 270, 195) - G43( 795, 15) - W10( 1440, 240) ","S29 - J1 - G43 - W10 ","sxw","breadth (from stem wsx)","G20v"
"L","E","U29( 0, 0) - X1( 540, 30) - Z2( 435, 405) ","U29 - X1 - Z2 ","DAt","balance, remainder","G20v"
"L","E","M17( 0, 0) - Y5( 300, 0) - N35( 300, 600) - A40( 1230, 15) ","M17 - Y5 - N35 - A40 ","imn","Amun, the god of Thebes","G20v"
"L","E","M12( 0, 0) - G1( 420, 0) - D51( 1065, 0) - D40( 1065, 240) ","M12 - G1 - D51 - D40 ","xAi","measure (vb.)","G20v"
"L","E","W17( 0, 0) - N35( 630, 15) - X1( 765, 435) - D19( 1485, 105) - O1( 2115, 180) ","W17 - N35 - X1 - D19 - O1 ","xnt","harem","G20v"
"L","E","Y5( 0, 45) - N35( 15, 540) - D36( 930, 45) - X1( 1170, 480) - D27( 1905, 150) - B1( 2550, 0) ","Y5 - N35 - D36 - X1 - D27 - B1 ","mnat","nurse","G20v (noun)"
"L","E","S29( 0, 0) - D58( 270, 15) - V28( 810, 15) - F18( 1080, 240) - A2( 2025, 30) ","S29 - D58 - V28 - F18 - A2 ","sbH","cry out","G20v (verb)"
