"Gardiner Lesson 26","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","Z11( 0, 30) - G17( 510, 30) - X1( 615, 780) - Y1( 1455, 30) - Z2( 1470, 480) - O1( 2415, 0) - Z1( 2640, 495) ","Z11 - G17 - X1 - Y1 - Z2 - O1 - Z1 ","imyt  pr","estate, testament","G26v"
"L","E","N29( 0, 165) - U1( 375, 15) - T14( 1245, 15) - Y1V( 1560, 0) ","N29 - U1 - T14 - Y1V ","qmA","create","G26v"
"L","E","V25( 0, 0) - G43( 270, 0) - O26( 900, 15) ","V25 - G43 - O26 ","wD","stela","G26v"
"L","E","V25( 0, 0) - G43( 240, 0) - O39( 885, 195) ","V25 - G43 - O39 ","wD","stela","G26v"
"L","E","V28( 0, 30) - D36( 375, 225) - G43( 1230, 75) - P1( 1860, 0) - Z2( 1845, 480) ","V28 - D36 - G43 - P1 - Z2 ","Haaw","ships","G26v"
"L","E","M16( 0, 0) - G1( 525, 15) - Q3( 1350, 225) - S28( 1635, 15) - A24( 2580, 0) ","M16 - G1 - Q3 - S28 - A24 ","HAp","conceal, hide","G26v"
"L","E","V7( 0, 75) - N35( 390, 60) - V13( 390, 360) - A24( 1260, 0) ","V7 - N35 - V13 - A24 ","SnT","resent, vent anger on","G26v"
"L","E","M17( 0, 0) - X1( 615, 15) - W24( 1110, 105) - N35( 375, 450) - G43( 1500, 15) - D19( 2145, 120) - A13( 2805, 0) ","M17 - X1 - W24 - N35 - G43 - D19 - A13 ","itnw","rebel, adversary","G26v"
"L","E","S29( 0, 0) - X1( 270, 0) - X1( 270, 495) - F29( 750, 0) - N8( 1635, 90) ","S29 - X1 - X1 - F29 - N8 ","stt","ray","G26v"
"L","E","U5( 0, 0) - D36( 0, 465) - G43( 960, 45) - Y1( 1605, 60) - Z2( 1725, 435) ","U5 - D36 - G43 - Y1 - Z2 ","mAaw","offerings, tribute","G26v"
"L","E","V7( 225, 15) - N35( 0, 600) - D36( 870, 0) - G43( 975, 315) - U13( 1725, 0) - D54( 1800, 615) ","V7 - N35 - D36 - G43 - U13 - D54 ","Snaw","policing, control, lit. holding in check","G26v"
"L","E","O90A( 0, 0) - X1( 975, 0) - O1( 870, 375) ","O90A - X1 - O1 ","Hwt  aAt","temple","G26v"
"L","E","M20( 0, 0) - X1( 645, 45) - N23( 660, 390) ","M20 - X1 - N23 ","sxt","field, countryside","G26v"
"L","E","V28( 0, 0) - M2( 540, 15) - N35( 315, 600) - V31( 1170, 15) - D39( 1170, 420) ","V28 - M2 - N35 - V31 - D39 ","Hnk","present, offer","G26v"
"L","E","X1( 0, 510) - G43( 510, 0) - X1( 1095, 0) - A53( 1605, 0) - Y1V( 1905, 0) ","X1 - G43 - X1 - A53 - Y1V ","twt","like (tbe like, n someone)","G26v"
"L","E","M23( 0, 15) - M17( 510, 0) - M17( 765, 0) - X1( 1230, 75) - Y1( 990, 495) ","M23 - M17 - M17 - X1 - Y1 ","nsyt","kingship","G26v"
