"Gardiner Lesson 16","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","G43( 0, 30) - D52( 645, 15) - X1( 885, 495) - Y1V( 1575, 0) ","G43 - D52 - X1 - Y1V ","wmt","be thick, adj. thick, stout","G16v"
"L","E","V15( 0, 165) - A24( 945, 0) ","V15 - A24 ","iT","take away, seize","G16v"
"L","E","D46( 30, 0) - D21( 0, 525) - A24( 960, 15) ","D46 - D21 - A24 ","dr","drive out, crush","G16v"
"L","E","N41( 180, 135) - O34( 0, 630) - G43( 780, 30) - A17( 1425, 135) - G37( 1935, 0) - Z2( 1905, 525) ","N41 - O34 - G43 - A17 - G37 - Z2 ","Hmsw","sloth, lit. sitting","G16v"
"L","E","F46( 0, 0) - D21( 15, 480) - X1( 960, 0) - N33( 1065, 510) - Z3( 1455, 15) ","F46 - D21 - X1 - N33 - Z3 ","pXrt","remedy, medicament","G16v"
"L","E","N37( 45, 0) - I9( 120, 285) - D46( 0, 555) - G43( 930, 120) - V12( 1590, 255) ","N37 - I9 - D46 - G43 - V12 ","Sfdw","papyrus roll, book","G16v"
"L","E","D2( 0, 0) - Z1( 120, 525) - D36( 510, 120) - Z1( 870, 525) ","D2 - Z1 - D36 - Z1 ","Hr a","immediately, lit. on the hand","G16v"
"L","E","U1( 525, 0) - N37( 0, 120) - G1( 1485, 15) - A33( 2310, 0) ","U1 - N37 - G1 - A33 ","SmAw","nomad, foreigner","G16v"
"L","E","S29( 0, 45) - G36( 270, 0) - D21( 225, 570) - M17( 1125, 75) - N35A( 1335, 75) - A2( 2190, 90) ","S29 - G36 - D21 - M17 - N35A - A2 ","swr","drink","G16v"
"L","E","G17( 0, 0) - X1( 195, 780) - A14( 960, 210) ","G17 - X1 - A14 ","mt","die, death","G16v"
"L","E","M18( 0, 0) - M17( 405, 0) - D54( 675, 120) ","M18 - M17 - D54 ","ii","come","G16v"
"L","E","S29( 0, 30) - N29( 570, 45) - D21( 315, 450) - J7( 1110, 180) - S34( 1920, 0) - A13( 2310, 15) ","S29 - N29 - D21 - J7 - S34 - A13 ","sqr  anx","prisoner, lit. one smitten living","G16v"
"L","E","D36( 15, 0) - F26( 0, 360) - N35( 1005, 135) - W24( 975, 645) - X1( 1410, 705) - U33( 1980, 180) - O1( 2295, 435) ","D36 - F26 - N35 - W24 - X1 - U33 - O1 ","a Xnwty","audience-chamber","G16v"
"L","E","A51( 0, 0) - S29( 660, 0) - Y1V( 930, 0) ","A51 - S29 - Y1V ","Sps","be noble, adj. noble","G16v"
"L","E","S29( 0, 75) - N35( 255, 0) - D58( 390, 165) - Y1V( 1140, 135) ","S29 - N35 - D58 - Y1V ","snb","be healthy, n. health","G16v"
"L","E","E34( 0, 60) - N35( 0, 495) - O31( 885, 270) - A24( 1740, 0) ","E34 - N35 - O31 - A24 ","wn","open","G16v"
"L","E","D21( 0, 0) - O4( 165, 330) - N35( 960, 75) - D41( 930, 375) ","D21 - O4 - N35 - D41 ","rhn","lean, Hr upon","G16v"
"L","E","Y5( 0, 0) - N35( 0, 555) - W24( 1080, 0) - O1( 930, 345) ","Y5 - N35 - W24 - O1 ","mnnw","fortress","G16v"
"L","E","U23( 0, 165) - G17( 240, 0) - D21( 165, 765) - G37( 1125, 285) ","U23 - G17 - D21 - G37 ","mr","be ill, adj. ill, painful","G16v (adjective)"
"L","E","G38( 0, 60) - D58( 945, 0) - A40( 1485, 15) ","G38 - D58 - A40 ","gb","Geb, the Earth god","G16v (divinity)"
"L","E","Y5( 0, 15) - N35( 30, 480) - Y1V( 915, 0) ","Y5 - N35 - Y1V ","mn","remain, be established","G16v (verb  intransitive)"
"L","E","S29( 0, 30) - D58( 285, 15) - N14( 795, 135) - G1( 1305, 15) - A24( 2130, 0) ","S29 - D58 - N14 - G1 - A24 ","sbA","teach, r concerning","G16v (verb and noun)"
"L","E","N29( 0, 195) - G1( 375, 0) - D36( 1200, 180) - A2( 2130, 0) ","N29 - G1 - D36 - A2 ","qAa","spew out","G16v (verb)"
