"Gardiner Lesson 33","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","D2( 225, 15) - D21( 0, 495) - X1( 1185, 0) - N1( 930, 510) ","D2 - D21 - X1 - N1 ","Hrt","heaven","G33v"
"L","E","D1( 0, 0) - Z1( 135, 495) - D21( 540, 30) - D46( 525, 495) - D56( 1470, 30) - Y1V( 2130, 30) ","D1 - Z1 - D21 - D46 - D56 - Y1V ","tp-rd","rules, principles","G33v"
"L","E","N37( 0, 0) - I9( 60, 420) - N37( 930, 0) - I9( 1005, 420) - X1( 1845, 255) - F7( 2325, 180) ","N37 - I9 - N37 - I9 - X1 - F7 ","SfSft","respect, awe, dignity","G33v"
"L","E","M17( 0, 0) - Q3( 345, 0) - X1( 825, 0) - O45( 810, 315) ","M17 - Q3 - X1 - O45 ","ipt","private chamber, harim","G33v"
"L","E","M17( 0, 0) - Z11( 285, 15) - G17( 795, 0) - Z4( 1545, 15) - M3( 2070, 30) - J1( 2055, 375) - X1( 2565, 540) - D54( 3075, 165) ","M17 - Z11 - G17 - Z4 - M3 - J1 - X1 - D54 ","imy-xt","one who goes after or accompanies","G33v"
"L","E","R4( 165, 30) - X1( 0, 390) - Q3( 510, 330) - Z8( 1125, 0) - X1( 765, 405) - Z2( 1275, 315) ","R4 - X1 - Q3 - Z8 - X1 - Z2 ","Htpt","offerings","G33v"
"L","E","V22( 0, 135) - V28( 930, 15) - M17( 1185, 15) - M17( 1455, 0) - X1( 1695, 240) - P5( 2190, 45) ","V22 - V28 - M17 - M17 - X1 - P5 ","mHyt","north wind","G33v"
"L","E","D58( 0, 30) - M17( 525, 30) - W10( 1020, 30) - F18( 810, 480) - M17( 1755, 0) - M17( 2025, 0) - X1( 2295, 15) - Z5( 2325, 285) - Y1( 2805, 30) - Z2( 2910, 450) ","D58 - M17 - W10 - F18 - M17 - M17 - X1 - Z5 - Y1 - Z2 ","biAyt","marvels, wonder","G33v"
"L","E","W14( 0, 0) - G43( 255, 15) - A2( 885, 15) ","W14 - G43 - A2 ","Hsw","singer","G33v"
"L","E","V28( 0, 0) - T28( 255, 105) - D58( 1005, 0) ","V28 - T28 - D58 ","Xry  Hbt","lector-priest","G33v"
"L","E","T28( 105, 0) - D21( 0, 555) - V28( 885, 30) - D58( 1140, 30) - W3( 1635, 15) - N5( 1845, 330) - A1( 2505, 30) ","T28 - D21 - V28 - D58 - W3 - N5 - A1 ","Xry  Hbt","lector-priest","G33v"
"L","E","S29( 0, 0) - T31( 240, 135) - G17( 1170, 30) - D54( 2085, 165) ","S29 - T31 - G17 - D54 ","sSm","lead, guide","G33v"
"L","E","G43( 0, 0) - S29( 660, 0) - J1( 990, 0) - X1( 960, 525) - O15( 1515, 0) ","G43 - S29 - J1 - X1 - O15 ","wsxt","hall, court (in temple or palace)","G33v"
"L","E","I10( 270, 0) - I9( 0, 510) - G1( 1110, 0) - N18( 1905, 0) - Z2( 2040, 435) ","I10 - I9 - G1 - N18 - Z2 ","DfA","food","G33v"
"L","E","D46( 0, 0) - O34( 15, 630) - T30( 945, 15) - O39( 1005, 555) ","D46 - O34 - T30 - O39 ","ds","flint","G33v"
"L","E","G17( 30, 0) - D36( 0, 780) - N37( 930, 120) - D21( 900, 765) - E23( 1815, 390) - G43( 2685, 135) - N2( 3345, 120) ","G17 - D36 - N37 - D21 - E23 - G43 - N2 ","mSrw","evening","G33v"
"L","E","V13( 0, 0) - N35( 0, 300) - X1( 210, 510) - T14( 945, 0) - G41( 1200, 0) - Y1( 2115, 15) - Z2( 2265, 435) ","V13 - N35 - X1 - T14 - G41 - Y1 - Z2 ","Tnt","difference","G33v"
"L","E","V28( 0, 60) - S29( 315, 60) - N29( 930, 0) - T30( 615, 285) ","V28 - S29 - N29 - T30 ","Hsq","cut off","G33v"
"L","E","E9( 0, 120) - G36( 930, 0) - D21( 915, 495) - B12( 1845, 0) ","E9 - G36 - D21 - B12 ","iwr","become pregnant","G33v"
"L","E","G36( 15, 0) - D21( 0, 585) - U2( 975, 0) - Z2( 1110, 510) ","G36 - D21 - U2 - Z2 ","wr-mAw","'Greatest-of-seers', name of the high-priest of Heliopolis","G33v"
"L","E","U24( 0, 0) - X1( 630, 15) - Y1( 405, 510) ","U24 - X1 - Y1 ","Hmt","craft, craftmanship","G33v"
"L","E","O22( 0, 0) - Z1( 1305, 0) - Y1( 945, 360) ","O22 - Z1 - Y1 ","sH","counsel","G33v"
