"Gardiner Lesson 28","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","S29( 0, 0) - J28( 420, 15) - D46( 720, 30) - W24( 945, 360) - P1( 1560, 135) ","S29 - J28 - D46 - W24 - P1 ","sqdw","travel by water, fare upon (river, sea)","G28v"
"L","E","X1( 0, 270) - M17( 510, 30) - X1( 780, 285) - M17( 1275, 0) - D56( 1530, 75) - D54( 2160, 135) ","X1 - M17 - X1 - M17 - D56 - D54 ","titi","trample down","G28v"
"L","E","I9( 0, 0) - N29( 165, 375) - G1( 765, 45) - N18( 1440, 60) - Y1( 1455, 465) ","I9 - N29 - G1 - N18 - Y1 ","fqA","reward","G28v"
"L","E","F25( 0, 0) - G17( 420, 0) - Y1V( 1395, 15) ","F25 - G17 - Y1V ","wHm","repeat","G28v"
"L","E","S29( 0, 60) - U1( 390, 75) - G1( 1245, 90) - G17( 1860, 90) - T30( 2685, 0) - D40( 2700, 420) ","S29 - U1 - G1 - G17 - T30 - D40 ","smA","slay","G28v"
"L","E","S29( 0, 255) - U1( 420, 0) - T30( 420, 660) ","S29 - U1 - T30 ","smA","slay","G28v"
"L","E","P4( 0, 0) - D36( 15, 420) - Z7( 975, 180) - A1( 1380, 60) ","P4 - D36 - Z7 - A1 ","wHa","fisherman","G28v"
"L","E","W11( 180, 0) - D21( 0, 420) - U17( 840, 90) - G37( 1695, 90) ","W11 - D21 - U17 - G37 ","grg","falsehood, lie","G28v"
"L","E","D58( 0, 0) - D46( 450, 15) - X1( 660, 510) - M34( 1320, 30) ","D58 - D46 - X1 - M34 ","bdt","emmer, a poor kind of cereal","G28v"
"L","E","M8( 0, 135) - G1( 885, 15) - D46( 1620, 0) - D40( 1575, 330) ","M8 - G1 - D46 - D40 ","SAd","excavate, dig out","G28v"
"L","E","D46( 0, 0) - Q3( 345, 480) - M17( 960, 0) - M17( 1260, 0) - I3( 1545, 240) ","D46 - Q3 - M17 - M17 - I3 ","dpy","crocodile (rare)","G28v"
"L","E","D58( 0, 15) - M17( 540, 15) - N41( 1080, 0) - F18( 825, 495) ","D58 - M17 - N41 - F18 ","biA","copper","G28v"
"L","E","N36( 0, 0) - N21( 90, 390) - Z1( 585, 330) ","N36 - N21 - Z1 ","mr","canal, lake","G28v"
"L","E","X1( 195, 0) - V31( 0, 330) - N35( 870, 0) - D54( 990, 165) ","X1 - V31 - N35 - D54 ","tkn","approach, with m, more rarely transitive","G28v"
"L","E","V30( 0, 0) ","V30 ","nbt","basket, island-home (?)","G28v"
"L","E","F31( 0, 0) - J1( 495, 195) - G4( 1005, 45) - U19( 1950, 75) ","F31 - J1 - G4 - U19 ","msxtyw","adze","G28v"
"L","E","M23( 0, 0) - G43( 540, 0) - X1( 1185, 0) - Z4( 1200, 345) - A40( 1590, 0) ","M23 - G43 - X1 - Z4 - A40 ","stX","Set","G28v"
"L","E","G1( 0, 0) - O34( 840, 0) - J1( 1080, 360) - T30( 1800, 120) "," G1 - O34 - J1 - T30 ","Asx","reap","G28v"
"L","E","S29( 0, 0) - S29( 300, 15) - N35( 630, 0) - D19( 690, 240) ","S29 - S29 - N35 - D19 ","ssn","breathe (trans.), smell","G28v (causative)"
"L","E","E20( 0, 0) - A41( 660, 15) ","E20 - A41 ","stX","Seth (god)","G28v (divinity)"
"L","E","G17( 0, 0) - D38( 855, 0) - V13( 840, 405) - N35( 1710, 75) - N25( 1710, 345) ","G17 - D38 - V13 - N35 - N25 ","mTn","Mitanni, a kingdom E. of the Euphrates","G28v (locality)"
"L","B","U23( 0, 30) - D58( 405, 30) - G43( 810, 30) - W6( 1575, 0) - N25( 1440, 420) ","U23 - D58 - G43 - W6 - N25 ","Abw","Elephantine, an island at the N. end of the First Cataract","G28v (locality)"
"L","E","S29( 0, 0) - D46( 255, 210) - G1( 1185, 15) - G33( 1980, 0) ","S29 - D46 - G1 - G33 ","sdA","tremble","G28v (verb  transitive)"
"L","E","S29( 0, 0) - D58( 285, 0) - M17( 810, 0) - A14( 1080, 105) ","S29 - D58 - M17 - A14 ","sbi","rebel","G28v (verb and noun)"
"L","E","F30( 0, 0) - D46( 15, 450) - A24( 825, 75) ","F30 - D46 - A24 ","Sdi","take out, extract, rescue, clear (a canal)","G28v (verb)"
"L","E","S29( 0, 15) - J18( 285, 15) - G1( 1110, 0) - A2( 1935, 0) ","S29 - J18 - G1 - A2 ","sAi","be satisfied","G28v (verb)"
