"Gardiner Lesson 31","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","T3( 0, 0) - X1( 270, 210) - S1( 675, 0) ","T3 - X1 - S1 ","HDt","the white crown of Upper Egypt","G31v"
"L","E","S29( 0, 0) - V13( 360, 15) - O34( 420, 480) - U39( 1215, 0) - Z3( 1575, 15) ","S29 - V13 - O34 - U39 - Z3 ","sTsw","supports","G31v"
"L","E","S43( 0, 15) - Z1( 615, 0) - M3( 285, 435) ","S43 - Z1 - M3 ","mdw","staff","G31v"
"L","E","N35( 0, 0) - I10( 75, 165) - O34( 945, 0) - Z7( 1185, 450) - G37( 1860, 0) - Z2( 1875, 600) ","N35 - I10 - O34 - Z7 - G37 - Z2 ","nDsw","poverty","G31v"
"L","E","F29( 0, 0) - X1( 975, 0) - D4( 930, 540) ","F29 - X1 - D4 ","sti","pierce, transfix (with look)","G31v"
"L","E","M36( 105, 0) - D21( 0, 555) - D36( 840, 15) - Z1( 1230, 480) ","M36 - D21 - D36 - Z1 ","Dr-a","originally, formerly","G31v"
"L","E","M8( 0, 150) - G1( 960, 0) - Y1V( 1785, 0) ","M8 - G1 - Y1V ","SA","appoint, command","G31v"
"L","E","N29( 0, 165) - U1( 375, 15) - T14( 1245, 15) - Y1V( 1560, 0) ","N29 - U1 - T14 - Y1V ","qmA","nature, form","G31v"
"L","E","G43( 0, 0) - V33( 615, 150) - V33( 1005, 150) - G37( 1380, 120) ","G43 - V33 - V33 - G37 ","wgg","misery, want","G31v"
"L","E","G43( 0, 15) - W11( 645, 0) - W11( 645, 405) - G37( 1170, 120) ","G43 - W11 - W11 - G37 ","wgg","misery, want","G31v"
"L","E","R8( 0, 0) - M17( 390, 0) - X1( 660, 495) ","R8 - M17 - X1 ","it nTr","father of the god, name od a class of elder priests","G31v"
"L","E","M17( 0, 0) - Q3( 570, 45) - Y1( 255, 495) ","M17 - Q3 - Y1 ","ip","calculate, reckon, caus. sip pass in review, examine","G31v"
"L","E","O1( 105, 15) - D21( 0, 525) - G43( 930, 0) - D54( 1575, 105) ","O1 - D21 - G43 - D54 ","prw","coming forth, prw n r utterance","G31v"
"L","E","G28( 0, 165) - G17( 930, 0) - V28( 1845, 0) - D5( 2115, 270) ","G28 - G17 - V28 - D5 ","gmH","look at","G31v"
"L","E","G17( 0, 0) - D36( 930, 0) - V31( 930, 510) - M16( 1860, 0) - D1( 2370, 165) ","G17 - D36 - V31 - M16 - D1 ","mkHA","be neglectful","G31v"
"L","E","X1( 255, 15) - U15( 0, 375) - G17( 915, 0) - Y1V( 1860, 0) ","X1 - U15 - G17 - Y1V ","tm","complete, perfect","G31v"
"L","E","S29( 0, 0) - D58( 270, 0) - N14( 780, 135) - G1( 1275, 15) - M17( 2100, 15) - M17( 2385, 30) - X1( 2880, 15) - Y1( 2655, 540) ","S29 - D58 - N14 - G1 - M17 - M17 - X1 - Y1 ","sbAyt","(written) teaching, instructions","G31v"
"L","E","G43( 0, 60) - D36( 645, 0) - D21( 660, 315) - X1( 870, 555) - D56( 1500, 75) ","G43 - D36 - D21 - X1 - D56 ","wart","leg","G31v "
"L","E","S29( 0, 0) - D58( 285, 15) - V31( 795, 0) - I5( 795, 405) - A40( 1725, 15) ","S29 - D58 - V31 - I5 - A40 ","sbk","Sobek (crocodile god)","G31v (divinity)"
"L","E","N24( 0, 0) - X1( 120, 480) - Z1( 585, 420) ","N24 - X1 - Z1 ","spAt","province, nome","G31v (nomos was the name given by the Greeks to the provinces of Egypt)"
"L","E","X1( 0, 0) - O4( 0, 300) - D56( 570, 0) - D54( 1185, 150) ","X1 - O4 - D56 - D54 ","thi","violate, transgress","G31v (verb  transitive)"
"L","E","T3( 0, 0) - I10( 315, 15) - Z9( 345, 300) - G37( 960, 120) ","T3 - I10 - Z9 - G37 ","HDi","damage, destroy","G31v (verb transitive)"
"L","E","I9( 15, 0) - G1( 0, 255) - A9( 795, 225) - A24( 1320, 225) ","I9 - G1 - A9 - A24 ","fAi","carry, lift","G31v (verb)"
