"Gardiner Lesson 12","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","N35( 0, 0) - N42( 240, 330) - G17( 930, 0) - A24( 1875, 15) ","N35 - N42 - G17 - A24 ","nHm","take away, rescue","G12v"
"L","E","F12( 0, 0) - S29( 405, 0) - D21( 720, 0) - D40( 720, 330) ","F12 - S29 - D21 - D40 ","wsr","be powerful, wealthy","G12v"
"L","E","T28( 90, 0) - D21( 0, 585) - X1( 930, 270) - Y1( 1410, 45) - Z2( 1470, 525) ","T28 - D21 - X1 - Y1 - Z2 ","Xrt","share, portion","G12v"
"L","E","U1( 0, 0) - G1( 930, 0) - M17( 1755, 15) - D21( 2040, 15) - T12( 2145, 255) - G37( 2985, 15) - Z2( 2985, 555) ","U1 - G1 - M17 - D21 - T12 - G37 - Z2 ","mAi(r)w","misery","G12v"
"L","E","M4( 0, 0) - M4( 420, 15) - I9( 825, 15) - N5( 975, 285) ","M4 - M4 - I9 - N5 ","snf","last year","G12v"
"L","E","G17( 0, 15) - D36( 945, 0) ","G17 - D36 ","m-a","in the hand of, from, owing to, together with","G12v"
"L","E","D46( 0, 15) - N35( 0, 600) - S29( 945, 0) - U32( 1200, 0) - O39( 1575, 240) ","D46 - N35 - S29 - U32 - O39 ","dns","be heavy, irksome","G12v"
"L","E","F4( 0, 0) - X1( 0, 615) - Z1( 630, 540) ","F4 - X1 - Z1 ","HAt","front, m HAt, r HAt formerly, before","G12v"
"L","E","S29( 0, 0) - D36( 285, 195) - V28( 1245, 15) - E31( 1545, 45) ","S29 - D36 - V28 - E31 ","saH","dignitary, rank, dignity","G12v"
"L","E","D54( 0, 105) - G43( 645, 0) ","D54 - G43 ","iw","come","G12v"
"L","E","D52( 0, 0) - X1( 195, 525) - D50( 945, 0) - D50( 1230, 0) - Y1V( 1515, 15) ","D52 - X1 - D50 - D50 - Y1V ","mty","be exact, precise","G12v"
"L","E","N29( 0, 210) - S29( 405, 0) - N35( 675, 300) - T19( 1635, 15) - G37( 1920, 120) ","N29 - S29 - N35 - T19 - G37 ","ksn","be difficult, disagreeable","G12v"
"L","E","G25( 0, 0) - J1( 870, 0) - Y1( 660, 450) ","G25 - J1 - Y1 ","Ax","be beneficial, advantageous","G12v"
"L","E","E9( 0, 150) - G43( 870, 0) - M23( 1515, 15) - G43( 2055, 30) - M3( 2715, 285) ","E9 - G43 - M23 - G43 - M3 ","iwsw","balance","G12v"
"L","E","D36( 0, 0) - N29( 270, 405) - G1( 930, 15) - D50( 1740, 30) - D50( 2025, 15) - Y1V( 2325, 30) ","D36 - N29 - G1 - D50 - D50 - Y1V ","aqA","be precise, accurate","G12v"
"L","E","S43( 0, 105) - D46( 345, 0) - G43( 450, 300) - A2( 1245, 105) ","S43 - D46 - G43 - A2 ","mdw","speak, talk","G12v"
"L","E","S43( 0, 0) - D46( 285, 0) - X1( 495, 495) - A2( 1215, 0) ","S43 - D46 - X1 - A2 ","mdw","speech, word","G12v"
"L","E","E9( 0, 90) - G43( 825, 0) - M17( 1455, 0) - M17( 1740, 0) - X1( 2070, 0) - G37( 1995, 210) ","E9 - G43 - M17 - M17 - X1 - G37 ","iwyt","wrongdoing","G12v"
"L","E","D21( 0, 45) - J1( 225, 360) - M17( 930, 60) - M17( 1215, 75) - X1( 1485, 330) - G24( 1995, 0) - Z2( 2070, 630) ","D21 - J1 - M17 - M17 - X1 - G24 - Z2 ","rxyt","common people","G12v"
"L","E","G26( 0, 0) - X1( 660, 15) - Z4( 645, 330) - A40( 1080, 15) ","G26 - X1 - Z4 - A40 ","DHwty","Thoth, the ibis-headed god of writing and mathematics","G12v (divinity)"
"L","E","U5( 15, 0) - D36( 0, 480) - X1( 975, 90) - Z4( 975, 405) - Y1V( 1485, 15) "," U5 - D36 - X1 - Z4 - Y1V ","mAaty","rightous","G12v (dual)"
