"Gardiner Lesson 25","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","M17( 0, 0) - K1( 255, 15) - N35( 285, 600) - D58( 1185, 30) - O36( 1725, 15) ","M17 - K1 - N35 - D58 - O36 ","inb","wall","G25v"
"L","E","S19( 0, 0) ","S19 ","sDAwty (?)","treasurer","G25v"
"L","E","S29( 0, 0) - F32( 435, 45) - D21( 315, 420) - T11( 1110, 90) - D36( 1110, 315) ","S29 - F32 - D21 - T11 - D36 ","sXr","overlay","G25v"
"L","E","M17( 0, 0) - D4( 255, 210) - G43( 1095, 15) - A53( 1725, 15) - Y1( 2100, 0) - Z2( 2205, 360) ","M17 - D4 - G43 - A53 - Y1 - Z2 ","irw","form, nature","G25v"
"L","E","Q1( 0, 0) - X1( 510, 15) - F34( 495, 360) ","Q1 - X1 - F34 ","st-ib","pleasure, affection","G25v"
"L","E","G17( 0, 0) - S29( 930, 0) - V31( 1260, 15) - X1( 1215, 495) - X1( 1725, 495) - P3( 2250, 165) ","G17 - S29 - V31 - X1 - X1 - P3 ","msktt","the evening-bark of the sun-god","G25v"
"L","E","G17( 0, 0) - V29( 855, 0) - V31( 1410, 15) - X1( 1380, 420) - X1( 1845, 405) - P3( 2265, 120) ","G17 - V29 - V31 - X1 - X1 - P3 ","msktt","the evening-bark of the sun-god","G25v"
"L","E","S42( 0, 0) - A40( 330, 15) ","S42 - A40 ","sxm","Power, personified as deity, a power","G25v"
"L","E","S29( 0, 0) - J1( 300, 210) - G17( 810, 15) - S42( 1755, 15) - A40( 2145, 15) ","S29 - J1 - G17 - S42 - A40 ","sxm","Power, personified as a deity, a power","G25v"
"L","E","S29( 0, 0) - M13( 405, 15) - I10( 1095, 0) - D46( 735, 375) ","S29 - M13 - I10 - D46 ","swAD","make green","G25v"
"L","E","S29( 0, 0) - U33( 285, 0) - V28( 585, 0) - N35( 870, 285) - S15( 1800, 30) ","S29 - U33 - V28 - N35 - S15 ","stHn","make dazzling","G25v"
"L","E","V7( 210, 0) - D46( 750, 165) - N35( 0, 645) - M17( 1710, 15) - M17( 2010, 0) - X1( 2265, 225) - S26( 2790, 15) ","V7 - D46 - N35 - M17 - M17 - X1 - S26 ","SnDyt","apron, skirt","G25v"
"L","E","S29( 0, 180) - S29( 390, 180) - G17( 780, 0) - X1( 975, 660) - E6A( 1635, 210) ","S29 - S29 - G17 - X1 - E6A ","ssmt","horse","G25v"
"L","E","D21( 0, 0) - Q3( 375, 255) - D36( 0, 585) ","D21 - Q3 - D36 ","r-pat","hereditary prince","G25v"
"L","E","E9( 0, 0) - D36( 0, 420) - G43( 870, 45) - F44( 1500, 120) ","E9 - D36 - G43 - F44 ","iwaw","heir","G25v"
"L","E","M17( 0, 30) - D21( 300, 60) - X1( 495, 450) - A49( 1170, 60) - Y1V( 1815, 0) ","M17 - D21 - X1 - A49 - Y1V ","irt","duty","G25v"
"L","E","V26( 0, 0) - D46( 30, 405) - X1( 1215, 0) - P3( 990, 300) ","V26 - D46 - X1 - P3 ","manDt","the morning-bark of the sun-god","G25v"
"L","E","U23( 0, 15) - D58( 285, 15) - G43( 810, 0) - D54( 1470, 120) ","U23 - D58 - G43 - D54 ","Abw","cessation","G25v"
"L","E","M1( 0, 105) - G17( 375, 105) - G43( 1305, 120) - N8( 2040, 0) - Z2( 1935, 615) ","M1 - G17 - G43 - N8 - Z2 ","imAw","brilliance, splendour","G25v"
"L","E","T3( 0, 135) - I10( 600, 0) - I10( 300, 270) - G43( 1425, 90) - X1( 2070, 90) - N8( 2610, 60) - Z2( 2325, 675) ","T3 - I10 - I10 - G43 - X1 - N8 - Z2 ","HDDwt","brightness","G25v"
"L","E","G43( 0, 0) - X1( 645, 0) - X1( 1155, 0) - D53( 660, 420) ","G43 - X1 - X1 - D53 ","wtt","beget","G25v"
"L","E","M13( 0, 0) - I10( 690, 0) - Y1( 330, 480) ","M13 - I10 - Y1 ","wAD","be green, fresh","G25v"
"L","E","R8( 0, 30) - X1( 615, 0) - D21( 375, 225) - Z4( 630, 450) - Y1V( 1245, 0) ","R8 - X1 - D21 - Z4 - Y1V ","ntry","be divine","G25v"
"L","E","U33( 0, 0) - V28( 270, 15) - N35( 555, 270) - S15( 1485, 30) ","U33 - V28 - N35 - S15 ","tHn","be dazzling","G25v"
"L","E","F22( 0, 630) - X1( 735, 480) - Z4( 765, 930) - F9( 1215, 0) - F9( 1245, 795) ","F22 - X1 - Z4 - F9 - F9 ","pHty","might, strength","G25v"
"L","E","V28( 0, 180) - D36( 330, 180) - Q3( 375, 630) - Z4( 825, 615) - N36( 1470, 0) - N35A( 1500, 285) ","V28 - D36 - Q3 - Z4 - N36 - N35A ","Hapy","Hapy, the inundation-god, inundation,high nile","G25v (divinity)?"
"L","E","O42( 0, 0) - Q3( 360, 540) - N5( 945, 180) ","O42 - Q3 - N5 ","Ssp","light","G25v (noun)"
"L","E","D58( 0, 0) - G29( 525, 45) - G1( 1470, 30) - W11( 2280, 195) - A7( 2790, 30) - G37( 3600, 150) ","D58 - G29 - G1 - W11 - A7 - G37 ","bAgi","be remiss, slack","G25v (verb)"
