"Gardiner Lesson 5","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","N42( 15, 0) - X1( 0, 525) - B1( 570, 0) ","N42 - X1 - B1 ","Hmt","woman, wife","G05v"
"L","E","G27( 0, 75) - D21( 930, 0) - X1( 1170, 240) - N25( 960, 495) ","G27 - D21 - X1 - N25 ","dSrt","the Red Land, i.e. the Desert","G05v"
"L","E","T22( 0, 0) - N35( 330, 30) - X1( 525, 435) - B1( 1125, 0) ","T22 - N35 - X1 - B1 ","snt","sister","G05v"
"L","E","U36( 0, 0) - Z1( 285, 270) - A1( 510, 15) ","U36 - Z1 - A1 ","Hm","(male) slave","G05v"
"L","E","D60( 0, 0) - N35A( 645, 0) ","D60 - N35A ","wab","be pure, clean, det. A1 (ordinary) priest","G05v"
"L","E","F13( 0, 0) - Q3( 30, 780) - Z9( 330, 690) ","F13 - Q3 - Z9 ","wp","open","G05v"
"L","E","V28( 0, 15) - M16( 405, 30) - G1( 840, 30) - M17( 1515, 15) - M17( 1830, 0) - S28( 2115, 0) ","V28 - M16 - G1 - M17 - M17 - S28 ","HAy","naked","G05v"
"L","E","Y5( 15, 120) - N35( 0, 540) - J1( 1035, 0) - U22( 990, 420) - Y1V( 1530, 75) ","Y5 - N35 - J1 - U22 - Y1V ","mnx","efficient, beneficient, excellent","G05v"
"L","E","V13( 0, 30) - O34( 0, 510) - G17( 930, 0) - E14( 1845, 90) ","V13 - O34 - G17 - E14 ","Tsm","hound, dog","G05v"
"L","E","R8( 0, 0) - Z1( 390, 180) ","R8 - Z1 ","nTr","god","G05v"
"L","E","N40( 0, 90) - G17( 915, 0) - D54( 1845, 105) ","N40 - G17 - D54 ","Sm","go, walk","G05v"
"L","E","V28( 0, 0) - D58( 240, 0) - S29( 705, 30) - S28( 930, 15) ","V28 - D58 - S29 - S28 ","Hbs","clothes, clothing","G05v"
"L","E","U36( 0, 0) - X1( 270, 45) - Z1( 375, 405) - B1( 750, 0) ","U36 - X1 - Z1 - B1 ","Hmt","female slave","G05v"
"L","E","T22( 360, 0) - N35( 0, 765) - A1( 915, 165) ","T22 - N35 - A1 ","sn","brother","G05v"
"L","E","W25( 225, 0) - N35( 0, 810) ","W25 - N35 ","ini","bring, fetch, remove","G05v"
"L","E","X1( 0, 360) - X2( 525, 0) - Z8( 45, 660) "," X1 - X2 - Z8 ","t","bread","G05v"
"L","E","V28( 0, 0) - N29( 285, 15) - X1( 285, 525) - W22( 750, 120) ","V28 - N29 - X1 - W22 ","Hnqt","beer","G05v"
"L","E","M17( 0, 15) - D58( 285, 0) - E8( 765, 105) - N35A( 1680, 15) - A2( 2610, 15) ","M17 - D58 - E8 - N35A - A2 ","ib","thirst (vb.), thirsty","G05v"
"L","E","J17( 0, 0) - Z1( 345, 525) ","J17 - Z1 ","sA","back, m-sA at the back of following after","G05v"
"L","E","D36( 0, 0) - Z1( 390, 375) ","D36 - Z1 ","a","arm, hand","G05v"
"L","E","M23( 0, 0) - X1( 735, 15) - N35( 510, 585) - A40( 1365, 0) ","M23 - X1 - N35 - A40 ","nsw","king of Upper Egypt, King","G05v"
"L","E","J18( 0, 0) - Z1( 225, 795) ","J18 - Z1 ","sA","back","G05v"
"L","E","I6( 0, 180) - G17( 810, 0) - X1( 1785, 15) - O49( 1770, 330) ","I6 - G17 - X1 - O49 ","kmt","the Black Land, i.e. Egypt","G05v (locality)"
"L","E","F26( 0, 0) - N35( 0, 735) - W24( 945, 300) - G43( 1335, 120) - O1( 1950, 285) ","F26 - N35 - W24 - G43 - O1 ","Xnw","interior, the (royal) Residence","G05v (noun)"
"L","E","G43( 0, 0) - N37( 600, 15) - D58( 1515, 45) - Z9( 2025, 270) - A2( 2520, 45) ","G43 - N37 - D58 - Z9 - A2 ","wSb","answer (n to person)","G05v (verb and noun)"
"L","E","G28( 0, 240) - G17( 780, 0) ","G28 - G17 ","gm","find","G05v (verb)"
"L","E","V28( 0, 30) - N29( 495, 45) - D21( 255, 495) - A2( 1110, 0) ","V28 - N29 - D21 - A2 ","Hqr","hungry (vb. and n.), hungry","G05v (verb)"
