"Gardiner Lesson 3","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","D28( 0, 0) - X1( 120, 645) - A9( 825, 90) ","D28 - X1 - A9 ","kAt","construction, work, device","G03v"
"L","E","G17( 0, 0) ","G17 ","m","in, with (of instrument), from, as, before suffixes im","G03v"
"L","E","G47( 0, 0) - X1( 810, 0) - Z1( 930, 435) - A1( 1320, 0) ","G47 - X1 - Z1 - A1 ","TAty","vizier","G03v"
"L","E","G39( 0, 0) - Z1( 675, 0) - A1( 930, 0) ","G39 - Z1 - A1 ","sA","son","G03v"
"L","E","G29( 0, 0) - V31( 795, 0) - A1( 1665, 0) ","G29 - V31 - A1 ","bAk","man-servant","G03v"
"L","E","O4( 0, 120) - G1( 480, 0) - D58( 1305, 15) - D54( 1815, 165) ","O4 - G1 - D58 - D54 ","hAb","send (someone, something)","G03v"
"L","E","V4( 0, 15) - G1( 930, 0) - X1( 1980, 30) - N31( 1710, 360) ","V4 - G1 - X1 - N31 ","wAt","road, way, side","G03v"
"L","E","M17( 0, 0) - X1( 480, 0) - D21( 285, 495) - G43( 1185, 0) - N35A( 1830, 75) ","M17 - X1 - D21 - G43 - N35A ","itrw","river","G03v"
"L","E","D21( 30, 0) - N37( 0, 435) - D19( 960, 105) - A2( 1590, 0) ","D21 - N37 - D19 - A2 ","rS","rejoice, be glad","G03v"
"L","E","M12( 0, 0) - G1( 435, 15) - O27( 1155, 105) ","M12 - G1 - O27 ","xA","office, hall, diwan","G03v"
"L","E","D21( 0, 0) - Z1( 345, 315) ","D21 - Z1 ","r","mouth, utterance","G03v"
"L","E","G29( 0, 0) - V31( 780, 15) - X1( 990, 435) - B1( 1560, 0) ","G29 - V31 - X1 - B1 ","bAkt","maid-servant","G03v"
"L","E","M17( 0, 30) - X1( 450, 90) - I9( 315, 405) - A1( 945, 0) ","M17 - X1 - I9 - A1 ","it","father","G03v"
"L","E","D2( 0, 0) - Z1( 135, 540) ","D2 - Z1 ","Hr","face, sight","G03v"
"L","E","G39( 0, 0) - X1( 930, 15) - B1( 1440, 0) ","G39 - X1 - B1 ","sAt","daughter","G03v"
"L","E","O34( 600, 0) - G17( 0, 180) - V28( 945, 195) - I3( 1215, 720) ","O34 - G17 - V28 - I3 ","msH","crocodile","G03v"
"L","E","O29( 0, 30) - D52( 15, 405) - E7( 945, 0) ","O29 - D52 - E7 ","aA","ass, donkey","G03v"
"L","E","S29( 0, 0) - N37( 255, 0) - X1( 270, 510) - U30( 735, 285) - G1( 1260, 15) - Y1V( 2085, 30) ","S29 - N37 - X1 - U30 - G1 - Y1V ","SstA","secret","G03v (adjective)"
"L","E","U2( 0, 0) - D4( 45, 540) - G1( 900, 0) - G1( 1725, 15) ","U2 - D4 - G1 - G1 ","mAA","see","G03v (intransitive)"
"L","E","D2( 0, 0) - Z1( 120, 435) ","D2 - Z1 ","Hr","upon,concerning, because of, before suffixes written Hr:r","G03v (prepostion with suffixes)"
"L","E","U28( 0, 0) - G1( 360, 0) - P1( 960, 120) ","U28 - G1 - P1 ","DAi","cross, ferry across","G03v (verb)"
