"Gardiner Lesson 22","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","G29( 0, 0) - V31( 855, 15) - A24( 1695, 15) ","G29 - V31 - A24 ","bAk","work (trans. and intrans.)","G22v"
"L","E","V4( 0, 15) - G1( 945, 0) - G43( 1740, 0) - N35A( 2370, 0) ","V4 - G1 - G43 - N35A ","wAw","wave","G22v"
"L","E","Q3( 255, 0) - I10( 0, 300) - T9( 795, 600) ","Q3 - I10 - T9 ","pD","stretch, adj. wide","G22v"
"L","E","G36( 0, 0) - D21( 15, 570) - N37( 945, 15) - N5( 1185, 300) ","G36 - D21 - N37 - N5 ","wrS","spend the day, pass time","G22v"
"L","E","V4( 0, 45) - G1( 840, 0) - S29( 1485, 30) - S40( 1890, 15) - G37( 2070, 90) ","V4 - G1 - S29 - S40 - G37 ","wAs","ruin","G22v"
"L","E","O29( 0, 0) - X1( 240, 315) - O39( 900, 135) ","O29 - X1 - O39 ","aAt","precious stone","G22v"
"L","E","V30( 0, 270) - W11( 975, 0) - W11( 1500, 0) - W11( 1230, 435) - N16( 2055, 15) - N16( 2070, 600) - N21( 2970, 30) - N21( 3000, 570) ","V30 - W11 - W11 - W11 - N16 - N16 - N21 - N21 ","nb nswt tAwy","lord of the thrones of the two lands, epithet of the god Amun-Ra","G22v"
"L","E","U1( 0, 0) - G1( 900, 0) - Q1( 1725, 0) - X1( 2250, 300) - D56( 2760, 30) ","U1 - G1 - Q1 - X1 - D56 ","mAst"," lap","G22v"
"L","E","S29( 0, 75) - J18( 285, 75) - G1( 1110, 90) - V28( 1950, 90) - D61( 2220, 0) - Y1( 2205, 690) ","S29 - J18 - G1 - V28 - D61 - Y1 ","sAH","endow with (m)","G22v"
"L","E","V6( 240, 0) - O34( 0, 585) - V1( 960, 135) ","V6 - O34 - V1 ","Ss","cord","G22v"
"L","E","G36( 45, 0) - D21( 0, 555) - D21( 915, 15) - X1( 1125, 495) - T17( 1755, 135) ","G36 - D21 - D21 - X1 - T17 ","wrryt","chariot","G22v"
"L","E","D46( 0, 0) - O4( 165, 360) - N35( 960, 0) - D1( 1095, 330) ","D46 - O4 - N35 - D1 ","dhn","appoint, promote","G22v"
"L","E","V4( 0, 15) - G1( 870, 0) - N31( 1515, 105) ","V4 - G1 - N31 ","wAi","be far, with r, fall into (bad condition, etc.)","G22v"
"L","E","D2( 210, 0) - D21( 0, 510) - J19( 1215, 30) - N31( 990, 450) ","D2 - D21 - J19 - N31 ","Hr","be far from (r)","G22v"
"L","E","G21( 0, 15) - V28( 825, 15) - D58( 1110, 0) - Z9( 1635, 150) ","G21 - V28 - D58 - Z9 ","nHb","unite, link together, equip with (m)","G22v"
"L","E","S29( 0, 15) - P7( 375, 15) - A24( 1230, 0) ","S29 - P7 - A24 ","saHa","erect","G22v (causative)"
"L","E","W11( 180, 0) - D21( 0, 540) - U17( 915, 120) ","W11 - D21 - U17 ","grg","furnish with (m)","G22v (verb  transitive)"
"L","E","V28( 0, 30) - D36( 285, 210) - A28( 1245, 0) "," V28 - D36 - A28 ","Hai","rejoice","G22v (verb)"
"L","E","T21( 60, 0) - D36( 0, 360) - G37( 975, 135) ","T21 - D36 - G37 ","wai","be alone","G22v (verb)"
